"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)"
3.394205100E-2;3.951629877E0;5.725733280E0;9.480440140E0
5.060804100E-2;3.889979124E0;5.504269600E0;1.003649330E1
6.727403000E-2;3.925293684E0;5.589263916E0;1.033217716E1
8.394002000E-2;4.361038208E0;5.399523258E0;1.015799904E1
1.006060100E-1;4.596268654E0;4.886565685E0;9.112331390E0
1.172719990E-1;4.811747074E0;4.425682068E0;8.664017677E0
1.339379890E-1;3.676296711E0;4.461595058E0;9.243413925E0
1.506039780E-1;2.867655039E0;3.994127035E0;1.021186924E1
1.672699680E-1;2.826953650E0;3.160944700E0;1.172141266E1
1.839359580E-1;2.671929121E0;2.661753654E0;1.270243740E1
2.006019470E-1;2.713229179E0;2.179920673E0;1.220743561E1
2.172679370E-1;2.609679937E0;1.756146908E0;1.095227528E1
2.339339260E-1;2.601898670E0;1.662773132E0;9.648034096E0
2.505999160E-1;3.003525972E0;1.694496274E0;8.571242332E0
2.672659050E-1;3.060986757E0;1.684320927E0;7.548917770E0
2.839318950E-1;2.865260839E0;1.651999116E0;7.136516571E0
3.005978850E-1;2.570774078E0;1.693299174E0;7.598597527E0
3.172638740E-1;2.136226416E0;1.727416515E0;7.965508938E0
3.339298640E-1;1.680729628E0;1.871667147E0;7.837419033E0
3.505958530E-1;1.301248670E0;2.021304846E0;7.709329605E0
3.672618430E-1;8.313865662E-1;2.132635117E0;7.492654324E0
3.839278330E-1;4.686649740E-1;2.339733601E0;7.083245754E0
4.005938220E-1;2.657563984E-1;2.406172752E0;7.092822552E0
4.172598120E-1;3.339911401E-1;2.409165382E0;7.459733963E0
4.339258010E-1;2.430114746E-1;2.673126221E0;7.342418194E0
4.505917910E-1;5.033808947E-1;3.016694069E0;7.028179169E0
4.672577800E-1;9.564836025E-1;3.301005602E0;7.179013729E0
4.839237700E-1;1.294066072E0;3.590703964E0;7.488464355E0
5.005897600E-1;1.038484931E0;3.826532841E0;7.571064472E0
5.172557490E-1;7.900865674E-1;3.885789394E0;7.284358501E0
5.339217390E-1;1.190516829E0;4.114435673E0;7.666234016E0
5.505877280E-1;1.698087573E0;4.350264549E0;8.219893456E0
5.672537180E-1;2.047641039E0;4.466981888E0;8.859743118E0
5.839197080E-1;2.352901697E0;4.652532578E0;8.972270966E0
