"Time (s)";"Gyroscope x (rad/s)";"Gyroscope y (rad/s)";"Gyroscope z (rad/s)"
6.727403000E-2;-1.415469050E-1;6.886929274E-1;1.958753467E-1
8.394002000E-2;-1.498026997E-1;8.881635666E-1;2.063948363E-1
1.006060100E-1;-2.669816911E-1;1.023984671E0;1.689774394E-1
1.172719990E-1;-4.833633900E-1;1.297624230E0;5.912213027E-2
1.339379890E-1;-6.868287325E-1;1.496029615E0;-6.724476814E-2
1.506039780E-1;-8.534093499E-1;1.450622797E0;-8.402267098E-2
1.672699680E-1;-8.584693074E-1;1.328516960E0;-8.974846452E-2
1.839359580E-1;-6.314350367E-1;1.099218965E0;-1.182442605E-1
2.006019470E-1;-3.589938581E-1;8.801741004E-1;-1.608548164E-1
2.172679370E-1;-1.896169335E-1;7.880287766E-1;-1.990711391E-1
2.339339260E-1;-1.564605981E-1;7.988145947E-1;-1.829590350E-1
2.505999160E-1;-1.699095517E-1;9.752488732E-1;-1.703090221E-1
2.672659050E-1;-2.355564237E-1;1.189100504E0;-1.633848101E-1
2.839318950E-1;-3.848264813E-1;1.247956395E0;-2.021337748E-1
3.005978850E-1;-4.604602158E-1;1.122654676E0;-2.972085476E-1
3.172638740E-1;-4.190480709E-1;8.775109053E-1;-4.082622826E-1
3.339298640E-1;-3.251717389E-1;6.363618970E-1;-4.699144363E-1
3.505958530E-1;-2.253032625E-1;4.906870723E-1;-4.816323221E-1
3.672618430E-1;-1.338237375E-1;4.219775498E-1;-4.704470634E-1
3.839278330E-1;-8.335687965E-2;4.452801943E-1;-4.293012619E-1
4.005938220E-1;-7.070687413E-2;4.950812757E-1;-3.704454303E-1
4.172598120E-1;-3.448791057E-2;4.584628344E-1;-3.324954212E-1
4.339258010E-1;5.219791830E-2;3.767038584E-1;-2.745717168E-1
4.505917910E-1;9.267793596E-2;2.346243113E-1;-2.086585164E-1
4.672577800E-1;1.174453199E-1;8.482161909E-2;-1.800295562E-1
4.839237700E-1;1.407479644E-1;-1.023984700E-1;-1.914811432E-1
5.005897600E-1;1.495363861E-1;-2.724411786E-1;-1.781653464E-1
5.172557490E-1;1.053279415E-1;-3.347590864E-1;-7.390266657E-2
5.339217390E-1;3.195791040E-3;-3.725759685E-1;6.151897460E-2
5.505877280E-1;-6.285055727E-2;-4.362254739E-1;1.338237375E-1
5.672537180E-1;-9.321057051E-2;-5.095955133E-1;1.599227041E-1
5.839197080E-1;-1.355548054E-1;-5.769734383E-1;1.576590240E-1
6.005856970E-1;-2.961432934E-1;-3.434143662E-1;1.768337637E-1
6.172516870E-1;-4.458128214E-1;5.552686751E-2;2.755038142E-1
6.339176760E-1;-3.817638457E-1;2.376869470E-1;3.215764761E-1
6.505836660E-1;-2.821617126E-1;2.002695650E-1;3.242396116E-1
6.672496550E-1;-2.163816839E-1;8.934898674E-2;2.966759205E-1
6.839156450E-1;-1.403484792E-1;-7.696529478E-2;2.906838059E-1
7.005816350E-1;-1.344895363E-2;-2.311622053E-1;3.420827985E-1
7.172476240E-1;1.404816359E-1;-2.438122183E-1;4.715123177E-1
7.339136140E-1;2.767022252E-1;-2.588590682E-1;4.950812757E-1
7.505796030E-1;3.133206666E-1;-2.830938101E-1;4.616586268E-1
7.672455930E-1;2.017343044E-1;-3.021354079E-1;3.806985915E-1
7.839115830E-1;-1.083905771E-1;-3.020022511E-1;3.507380486E-1
8.005775720E-1;-4.841623306E-1;-2.109221965E-1;3.085269928E-1
8.172435620E-1;-7.285071611E-1;-4.514054582E-2;2.850911915E-1
8.339095510E-1;-7.177214026E-1;7.150582224E-2;3.137201369E-1
8.505755410E-1;-4.279696643E-1;1.332911104E-1;2.547311783E-1
8.672415300E-1;-1.890842989E-2;1.984053552E-1;1.492700726E-1
8.839075200E-1;2.459427416E-1;3.623228073E-1;1.351553202E-1
9.005735100E-1;2.900180221E-1;6.419544816E-1;1.605884880E-1
9.172394990E-1;1.745700836E-1;8.870983124E-1;2.298306376E-1
9.339054890E-1;5.845634267E-2;8.917587996E-1;3.544664681E-1
9.505714780E-1;1.518000662E-2;6.490118504E-1;4.904207587E-1
9.672374680E-1;-4.261054471E-2;4.025365114E-1;5.438171029E-1
9.839034580E-1;-1.576590240E-1;2.846917212E-1;4.510059953E-1
1.000569447E0;-2.692453861E-1;2.241048366E-1;2.643185556E-1
1.017235437E0;-2.545980215E-1;3.097254038E-1;7.736477256E-2
1.033901426E0;-9.054741263E-2;4.058654606E-1;-9.068056941E-2
1.050567416E0;9.680583328E-2;4.211786091E-1;-2.544648647E-1
1.067233405E0;2.450106442E-1;4.672512710E-1;-3.559312224E-1
1.083899395E0;3.572627902E-1;5.628587008E-1;-4.812328517E-1
1.100565385E0;2.145174593E-1;4.929507375E-1;-6.784397960E-1
1.117231374E0;-1.729721874E-1;3.791007102E-1;-8.028092980E-1
1.133897364E0;-3.355580568E-1;3.721764982E-1;-7.455514073E-1
1.150563353E0;-2.657832801E-1;1.130511016E-1;-6.487455368E-1
1.167229343E0;-1.997369342E-3;-9.933583438E-2;-5.752423406E-1
1.183895333E0;2.697780132E-1;-1.878858805E-1;-3.399522603E-1
1.200561322E0;3.516701460E-1;-2.063948363E-1;-9.614004195E-2
1.217227312E0;2.367548496E-1;-1.739042848E-1;5.872265995E-2
1.233893301E0;9.028109163E-2;-1.378184855E-1;1.544632316E-1
1.250559291E0;1.089232042E-1;-1.966743022E-1;1.564605981E-1
1.267225280E0;2.214416862E-1;-3.217096329E-1;3.914843872E-2
1.283891270E0;2.780338228E-1;-4.420844018E-1;-6.897582114E-2
1.300557260E0;1.856221855E-1;-5.138565302E-1;-1.344895363E-1
1.317223249E0;4.860265180E-2;-4.910865426E-1;-1.611211300E-1
1.333889239E0;2.277000993E-2;-4.029359818E-1;-1.283642650E-1
1.350555228E0;1.475390196E-1;-2.376869470E-1;-1.022653133E-1
1.367221218E0;2.147837877E-1;-7.257108390E-2;-1.343563795E-1
1.383887208E0;1.319595277E-1;6.325002760E-2;-1.756353378E-1
1.400553197E0;-7.896266878E-2;1.058605760E-1;-2.014679909E-1
1.417219187E0;-2.909501195E-1;6.165213138E-2;-2.075932473E-1
1.433885176E0;-3.914843798E-1;-1.078579482E-2;-1.932121962E-1
1.450551166E0;-2.976080179E-1;-9.813741595E-2;-2.173137814E-1
1.467217155E0;-6.058686972E-2;-1.038632020E-1;-2.595248520E-1
1.483883145E0;1.645832360E-1;4.340949282E-2;-2.850911915E-1
1.500549135E0;2.197106332E-1;2.487390637E-1;-2.786996067E-1
1.517215124E0;1.360874325E-1;4.440817833E-1;-2.813627720E-1
1.533881114E0;-3.581948951E-2;5.866939425E-1;-2.802974880E-1
1.550547103E0;-2.599243224E-1;5.715139508E-1;-2.585927546E-1
1.567213093E0;-4.524707198E-1;4.432828426E-1;-2.544648647E-1
1.583879083E0;-4.984102249E-1;2.612559199E-1;-2.809632719E-1
1.600545072E0;-4.087949097E-1;1.386174262E-1;-3.115896285E-1
1.617211062E0;-2.689790726E-1;1.158474237E-1;-3.226417303E-1
1.633877051E0;-9.574057162E-2;1.418132186E-1;-3.281011879E-1
1.650543041E0;8.282424510E-2;7.297056168E-2;-3.340933025E-1
1.667209030E0;2.424806356E-1;-3.608580679E-2;-2.984069884E-1
1.683875020E0;3.432812095E-1;-7.763108611E-2;-2.339585274E-1
1.700541010E0;3.439469934E-1;-6.857634336E-2;-1.813611388E-1
1.717206999E0;2.818953991E-1;-1.651158556E-2;-1.415469050E-1
1.733872989E0;1.849564016E-1;-1.904158667E-2;-1.280979514E-1
1.750538978E0;7.044056058E-2;-1.051947847E-1;-1.452753246E-1
1.767204968E0;-1.291632187E-2;-1.653821766E-1;-1.231711060E-1
1.783870958E0;-5.379581451E-2;-1.850895584E-1;-8.562056720E-2
1.800536947E0;-9.334372729E-2;-1.103879437E-1;-5.046686530E-2
1.817202937E0;-1.221058443E-1;-1.624527015E-2;-8.655266836E-3
1.833868926E0;-9.387636185E-2;2.636527456E-2;3.249054030E-2
1.850534916E0;4.434159771E-2;3.781685978E-2;1.002679393E-1
1.867200905E0;2.277000993E-1;1.611211337E-2;1.723063886E-1
1.883866895E0;3.810980618E-1;6.058686972E-2;2.277000993E-1
1.900532885E0;4.041343927E-1;1.090563685E-1;2.797648609E-1
1.917198874E0;3.403517306E-1;1.669800729E-1;3.106575012E-1
1.933864864E0;2.615222335E-1;1.462074369E-1;3.147853911E-1
1.950530853E0;2.328932583E-1;2.769685537E-2;2.901511788E-1
1.967196843E0;2.394180000E-1;-7.137266546E-2;2.523343265E-1
1.983862833E0;2.701774836E-1;-3.795001656E-2;2.006690353E-1
2.000528822E0;2.669816911E-1;-2.436790615E-2;1.957421899E-1
2.017194812E0;2.154495716E-1;-2.649843320E-2;2.904174924E-1
2.033860801E0;1.571263820E-1;-1.066595241E-1;3.773696423E-1
2.050526791E0;1.386174262E-1;-2.929475009E-1;4.311654568E-1
2.067192780E0;1.490037590E-1;-3.900196552E-1;4.226433635E-1
2.083858770E0;1.929458827E-1;-3.416832983E-1;3.693801761E-1
2.100524760E0;2.840259075E-1;-1.930790395E-1;3.422159553E-1
2.117190749E0;4.115912318E-1;-5.153212696E-2;3.181143403E-1
2.133856739E0;5.390233994E-1;9.387636185E-2;2.743053734E-1
2.150522728E0;6.086649895E-1;2.744385600E-1;2.560627460E-1
2.167188718E0;5.661876202E-1;3.671164811E-1;2.379532605E-1
2.183854708E0;4.700475931E-1;3.426154256E-1;1.868206114E-1
2.200520697E0;3.693801761E-1;2.976080179E-1;1.451421678E-1
2.217186687E0;2.912164330E-1;2.364885211E-1;1.253016293E-1
2.233852676E0;2.577938139E-1;1.641837656E-1;1.179779470E-1
2.250518666E0;1.773663908E-1;-1.318263728E-2;7.123950869E-2
2.267184655E0;1.290300637E-1;-1.106542572E-1;3.342264518E-2
2.283850645E0;8.149266988E-2;-1.019989923E-1;-3.195791040E-3
2.300516635E0;5.419528857E-2;-1.858884990E-1;-5.313002318E-2
2.317182624E0;1.018658355E-1;-3.471427858E-1;-4.833633825E-2
2.333848614E0;2.139848322E-1;-5.700492263E-1;-6.924213842E-3
2.350514603E0;3.219759464E-1;-6.653903127E-1;2.796317078E-2
2.367180593E0;3.289001584E-1;-6.107955575E-1;2.676474862E-2
2.383846583E0;2.470080107E-1;-4.543349445E-1;-3.195791040E-3
2.400512572E0;8.695214242E-2;-2.532664239E-1;-3.874896467E-2
2.417178562E0;-3.408843651E-2;-1.153147891E-1;-6.711161137E-2
2.433844551E0;-4.314317927E-2;-4.167843983E-2;-6.431528926E-2
2.450510541E0;5.326318205E-4;-3.462106921E-3;-3.222422674E-2
2.467176530E0;6.404897571E-2;-9.321057005E-4;-6.791055668E-3
2.483842520E0;1.434111148E-1;-2.343579940E-2;3.861580743E-3
2.500508510E0;1.707084924E-1;-1.207742617E-1;-4.394212738E-3
2.517174499E0;1.764342934E-1;-2.615222335E-1;-4.367581010E-2
2.533840489E0;1.846900880E-1;-4.520712495E-1;-9.081372619E-2
2.550506478E0;2.375537902E-1;-5.450155139E-1;-1.071921512E-1
2.567172468E0;3.139864504E-1;-5.456812978E-1;-6.111950055E-2
2.583838458E0;3.793670237E-1;-5.067991614E-1;5.126581341E-2
2.600504447E0;4.033354521E-1;-4.933502376E-1;1.483379602E-1
2.617170437E0;4.343612492E-1;-4.179828167E-1;1.893506050E-1
2.633836426E0;4.286354482E-1;-2.845585644E-1;1.665806025E-1
2.650502416E0;3.109238148E-1;-1.647163928E-1;9.534109384E-2
2.667168405E0;1.366200596E-1;-1.448758543E-1;9.187898599E-3
2.683834395E0;-1.265000552E-2;-1.589905918E-1;-6.910897791E-2
2.700500385E0;-9.440898895E-2;-1.828258783E-1;-1.407479644E-1
2.717166374E0;-6.471476704E-2;-2.062616795E-1;-2.031990439E-1
2.733832364E0;7.789740711E-2;-2.736395895E-1;-2.647180259E-1
2.750498353E0;2.697780132E-1;-3.580617309E-1;-3.158506751E-1
2.767164343E0;3.561975360E-1;-3.627222776E-1;-3.512706757E-1
2.783830333E0;3.126548827E-1;-2.881538272E-1;-3.691138625E-1
2.800496322E0;1.499358565E-1;-2.351569533E-1;-3.479417264E-1
