"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)"
8.394002000E-2;0.000000000E0;0.000000000E0;0.000000000E0
1.006060100E-1;1.971859932E-1;-2.279558182E-1;-5.713739395E-1
1.172719990E-1;4.125599861E-1;-4.036593437E-1;-7.688465118E-1
1.339379890E-1;-3.601953983E-1;-1.978592873E-1;-2.631502151E-1
1.506039780E-1;-7.446627617E-1;-4.277715683E-1;4.361515045E-1
1.672699680E-1;-4.674484730E-1;-9.377393723E-1;1.505105019E0
1.839359580E-1;-3.656921387E-1;-1.144387007E0;2.044026375E0
2.006019470E-1;-1.374907494E-1;-1.373770237E0;1.297521591E0
2.172679370E-1;-7.612109184E-2;-1.575294137E0;-4.334449768E-3
2.339339260E-1;6.502032280E-2;-1.482885957E0;-1.216703415E0
2.505999160E-1;5.930039883E-1;-1.297714710E0;-2.129117966E0
2.672659050E-1;7.986352444E-1;-1.165883422E0;-2.941746235E0
2.839318950E-1;7.673523426E-1;-1.050704718E0;-3.153606892E0
3.005978850E-1;6.307860613E-1;-8.729945421E-1;-2.552956581E0
3.172638740E-1;3.378902674E-1;-7.281700373E-1;-2.082384109E0
3.339298640E-1;8.212447166E-3;-5.088499784E-1;-2.102109909E0
3.505958530E-1;-2.550082207E-1;-3.151612282E-1;-2.120058537E0
3.672618430E-1;-6.021248698E-1;-1.830499172E-1;-2.221380234E0
3.839278330E-1;-8.302319050E-1;2.602195740E-2;-2.505590916E0
4.005938220E-1;-8.924537897E-1;9.125471115E-2;-2.383271217E0
4.172598120E-1;-7.041062713E-1;8.889055252E-2;-1.929843903E0
4.339258010E-1;-6.922057271E-1;3.245608807E-1;-1.958006859E0
4.505917910E-1;-3.707877398E-1;6.226260662E-1;-2.173421383E0
4.672577800E-1;9.845685959E-2;8.495748043E-1;-1.934854031E0
4.839237700E-1;4.114673138E-1;1.070370674E0;-1.553760529E0
5.005897600E-1;1.174786687E-1;1.231599569E0;-1.404261589E0
5.172557490E-1;-1.713507771E-1;1.227015495E0;-1.619117260E0
5.339217390E-1;1.650803089E-1;1.404055119E0;-1.186861038E0
5.505877280E-1;5.813977718E-1;1.594742298E0;-6.069173813E-1
5.672537180E-1;8.205251694E-1;1.670561790E0;3.719997406E-2
5.839197080E-1;1.000537038E0;1.818335295E0;1.510229111E-1
6.005856970E-1;6.281912327E-1;1.702888250E0;-6.666364670E-1
6.172516870E-1;4.391915798E-1;1.496427298E0;1.708936691E-1
6.339176760E-1;4.095174074E-1;1.680178642E0;1.175261497E0
6.505836660E-1;1.349850893E-1;1.897815943E0;9.337844849E-1
6.672496550E-1;1.334512234E-2;1.660793066E0;1.092574120E0
6.839156450E-1;-4.827782512E-1;1.120330095E0;1.623255730E0
7.005816350E-1;-1.171879411E0;9.752919674E-1;2.085713387E0
7.172476240E-1;-1.366963744E0;7.838914394E-1;2.468369484E0
7.339136140E-1;-9.410088062E-1;1.123769760E0;2.965647697E0
7.505796030E-1;-8.791223168E-1;8.840167522E-1;2.934387207E0
7.672455930E-1;-7.404423356E-1;6.140732765E-1;2.658050537E0
7.839115830E-1;-1.027220368E0;3.538417816E-1;2.277420044E0
8.005775720E-1;-8.798393011E-1;-2.614426613E-1;2.303886414E0
8.172435620E-1;-1.235306263E0;-8.895927668E-1;2.658342361E0
8.339095510E-1;-8.933370113E-1;-1.466843724E0;3.035363197E0
8.505755410E-1;-3.343592882E-1;-1.483268976E0;3.148118973E0
8.672415300E-1;-4.898217916E-1;-1.061864853E0;2.123970032E0
8.839075200E-1;-8.148110509E-1;-6.883187294E-1;3.111753464E-1
9.005735100E-1;-9.226865172E-1;-4.665799141E-1;-1.120786667E0
9.172394990E-1;-1.401200533E0;-2.482471466E-1;-1.946316719E0
9.339054890E-1;-1.355464935E0;1.220479012E-1;-1.705205441E0
9.505714780E-1;-8.032419682E-1;5.138859749E-1;-1.700423241E0
9.672374680E-1;-3.995398879E-1;2.821967602E-1;-2.358251095E0
9.839034580E-1;-2.792282701E-1;-3.973917961E-1;-2.640655994E0
1.000569447E0;-1.418160796E-1;-7.710750103E-1;-2.605633736E0
1.017235437E0;1.606454849E-1;-6.433042288E-1;-2.226571083E0
1.033901426E0;5.461284518E-1;-1.281437874E-1;-1.657847404E0
1.050567416E0;2.838739157E-1;-9.498596191E-3;-2.033757210E0
1.067233405E0;3.263491392E-2;2.762756348E-1;-2.150451660E0
1.083899395E0;5.042690039E-1;1.037093163E0;-2.321559906E0
1.100565385E0;8.673509359E-1;8.411700726E-1;-3.654067993E0
1.117231374E0;1.064922512E-1;7.611041069E-1;-3.978233814E0
1.133897364E0;-8.413279057E-1;1.063546896E0;-1.919658184E0
1.150563353E0;-9.071654081E-1;2.703654766E-1;-2.255802155E-1
1.167229343E0;-1.361357212E0;-2.489700317E-1;7.037706375E-1
1.183895333E0;-2.127708673E0;2.832889557E-3;3.756322861E-1
1.200561322E0;-1.831364036E0;3.561689854E-1;-5.433006287E-1
1.217227312E0;-1.426491022E0;8.205432892E-1;-1.052650452E0
1.233893301E0;-1.064858675E0;1.148675680E0;-3.726596832E-1
1.250559291E0;-3.175759912E-1;1.375206232E0;6.856870651E-1
1.267225280E0;1.110005379E-2;1.623913288E0;1.020097733E0
1.283891270E0;-7.525312901E-2;1.636552334E0;8.605957031E-1
1.300557260E0;-2.010053098E-1;1.292570829E0;9.014158249E-1
1.317223249E0;-3.500639796E-1;9.290089607E-1;1.694531441E0
1.333889239E0;-5.447803140E-1;8.757495880E-1;2.853054047E0
1.350555228E0;-1.167630553E-1;1.201340437E0;3.074539185E0
1.367221218E0;4.316318631E-1;1.173558950E0;2.522995949E0
1.383887208E0;4.485793710E-1;7.708344460E-1;2.083008766E0
1.400553197E0;6.377184391E-2;2.659366131E-1;2.161400795E0
1.417219187E0;-1.089474857E-1;-4.011499882E-1;2.598254204E0
1.433885176E0;-9.168863297E-3;-1.044514060E0;3.140214920E0
1.450551166E0;4.170482755E-1;-1.460095048E0;3.699913025E0
1.467217155E0;8.420553207E-1;-1.750819087E0;3.543628693E0
1.483883145E0;1.110901356E0;-1.710415483E0;2.243196487E0
1.500549135E0;1.147659659E0;-1.495391846E0;4.379606247E-1
1.517215124E0;1.322716713E0;-1.355748296E0;-1.110777855E0
1.533881114E0;1.031905532E0;-1.232504010E0;-2.078558445E0
1.550547103E0;8.857479095E-1;-1.512628913E0;-2.529942513E0
1.567213093E0;7.545057535E-1;-1.484685421E0;-2.418226719E0
1.583879083E0;7.785778642E-1;-1.360602260E0;-1.787951946E0
1.600545072E0;5.012674332E-1;-1.252118707E0;-1.724339962E0
1.617211062E0;1.904120743E-1;-1.035665154E0;-1.765992165E0
1.633877051E0;1.638812572E-2;-7.214777470E-1;-1.561441422E0
1.650543041E0;-1.220132709E-1;-4.955302477E-1;-1.388179779E0
1.667209030E0;-7.899870723E-2;-1.967878342E-1;-1.644649982E0
1.683875020E0;-1.177191138E-1;1.340022087E-1;-2.104424953E0
1.700541010E0;-3.158853948E-2;2.748174667E-1;-2.418849945E0
1.717206999E0;5.367916077E-2;3.355410099E-1;-2.446438789E0
1.733872989E0;3.516678810E-1;3.590443134E-1;-2.078631401E0
1.750538978E0;3.738225102E-1;2.715828419E-1;-1.739077091E0
1.767204968E0;4.049177170E-1;1.923918724E-1;-1.294623375E0
1.783870958E0;6.448729634E-1;3.205611706E-1;-9.517402649E-1
1.800536947E0;8.303382397E-1;4.506061077E-1;-9.204654694E-1
1.817202937E0;8.342930675E-1;6.419205666E-1;-6.463403702E-1
1.833868926E0;6.483433843E-1;8.090229034E-1;-1.688499451E-1
1.850534916E0;5.913838744E-1;1.039196014E0;3.112678528E-1
1.867200905E0;5.933067203E-1;1.393814802E0;4.994812012E-1
1.883866895E0;3.960831761E-1;1.693666458E0;4.105176926E-1
1.900532885E0;9.073857963E-2;1.608486891E0;2.440328598E-1
1.917198874E0;-6.348110735E-3;1.539590359E0;2.365512848E-1
1.933864864E0;-8.251085877E-2;1.330819130E0;7.125349045E-1
1.950530853E0;-8.373572677E-2;9.444465637E-1;1.213061333E0
1.967196843E0;-1.198479459E-1;8.339309692E-1;1.680914879E0
1.983862833E0;-1.326890290E-2;9.936749935E-1;2.177990913E0
2.000528822E0;-4.366993606E-1;9.970266819E-1;2.623096466E0
2.017194812E0;-9.049206972E-1;8.396160603E-1;3.072918892E0
2.033860801E0;-1.063745260E0;6.390922070E-1;3.971820831E0
2.050526791E0;-1.093190551E0;8.333444595E-2;4.782113075E0
2.067192780E0;-9.198707342E-1;-6.179809570E-1;4.840322495E0
2.083858770E0;-6.702406406E-1;-1.219115496E0;4.501585960E0
2.100524760E0;-7.486328483E-1;-1.329319477E0;3.444909096E0
2.117190749E0;-5.987961292E-1;-1.373309135E0;2.173580170E0
2.133856739E0;-6.691113710E-1;-1.288676739E0;7.217340469E-1
2.150522728E0;-8.757016063E-1;-1.023880005E0;-8.421993256E-1
2.167188718E0;-8.273924589E-1;-8.319025040E-1;-1.870712757E0
2.183854708E0;-1.003052711E0;-1.114581347E0;-2.433448792E0
2.200520697E0;-1.346261501E0;-9.398450851E-1;-2.469043255E0
2.217186687E0;-1.298063397E0;-7.226216793E-1;-2.335989475E0
2.233852676E0;-1.339412689E0;-1.325845480E0;-2.127518654E0
2.250518666E0;-7.928515077E-1;-1.571772337E0;-2.033644199E0
2.267184655E0;-7.400142550E-1;-1.132827044E0;-2.046320438E0
2.283850645E0;-2.531298995E-1;-1.146938324E0;-2.210299015E0
2.300516635E0;-1.653910279E-1;-9.545965195E-1;-2.290782452E0
2.317182624E0;-3.602303267E-1;-4.154820442E-1;-2.056985378E0
2.333848614E0;-5.512579679E-1;-1.194317341E-1;-1.984825134E0
2.350514603E0;-6.210484505E-1;-1.061058044E-1;-2.261607647E0
2.367180593E0;-3.815598488E-1;-2.766895294E-2;-2.517714977E0
2.383846583E0;-1.669941545E-1;3.458976746E-3;-2.532110691E0
2.400512572E0;-2.081585526E-1;-1.091399193E-1;-2.284110546E0
2.417178562E0;-3.237321079E-1;2.209663391E-2;-1.531584263E0
2.433844551E0;-2.834580243E-1;2.413411140E-1;-9.938206673E-1
2.450510541E0;-1.720237732E-1;5.134110451E-1;-7.488918304E-1
2.467176530E0;-1.358671784E-1;8.830680847E-1;-5.378189087E-1
2.483842520E0;-1.713712513E-1;1.115192890E0;-3.678483963E-1
2.500508510E0;1.674830914E-2;1.229921818E0;-3.550710678E-1
2.517174499E0;1.700087190E-1;1.340831757E0;-4.901885986E-2
2.533840489E0;1.511203051E-1;1.456175804E0;3.461236954E-1
2.550506478E0;-3.975690603E-1;1.817499638E0;8.340311050E-1
2.567172468E0;-7.225770950E-1;2.041615963E0;1.221069336E0
2.583838458E0;-5.249720812E-1;1.946025372E0;1.646446228E0
2.600504447E0;-9.821182489E-2;1.495370865E0;2.141654015E0
2.617170437E0;1.585124731E-1;1.469416142E0;2.364761353E0
2.633836426E0;3.679550886E-1;1.729519844E0;1.885845184E0
2.650502416E0;6.158435345E-1;1.524260998E0;1.311240196E0
2.667168405E0;5.287576914E-1;1.039345741E0;1.466546059E0
2.683834395E0;3.983837366E-1;4.269909859E-1;1.991226196E0
2.700500385E0;3.222788572E-1;-3.558530807E-1;2.603213310E0
2.717166374E0;3.057440519E-1;-5.650658607E-1;3.104079247E0
2.733832364E0;2.557641268E-1;-7.025501728E-1;3.323151588E0
2.750498353E0;1.132873297E-1;-9.392733574E-1;2.803380013E0
2.767164343E0;2.262625694E-1;-1.035811186E0;1.680751801E0
2.783830333E0;3.354184628E-1;-1.137820005E0;4.787712097E-1
2.800496322E0;3.701308966E-1;-1.367062330E0;-4.133329391E-1
2.817162312E0;4.176684618E-1;-1.333143711E0;-1.095229626E0
2.833828301E0;2.802234888E-1;-1.253442287E0;-1.450562477E0
2.850494291E0;2.409110069E-1;-1.298137665E0;-1.903574467E0
2.867160280E0;8.524348736E-1;-1.093513966E0;-1.762862206E0
2.883826270E0;7.876642942E-1;-1.310164690E0;-1.295908928E0
2.900492260E0;5.218163729E-1;-1.487975597E0;-7.951245308E-1
2.917158249E0;4.752910137E-1;-1.376322746E0;-6.839604378E-1
2.933824239E0;2.657622099E-1;-1.167278528E0;-1.112979889E0
2.950490228E0;3.454005718E-2;-8.047037125E-1;-1.778428555E0
2.967156218E0;-1.296901703E-2;-5.479807854E-1;-2.349912167E0
2.983822208E0;2.534750700E-1;-5.740532875E-1;-2.275021076E0
