activity_code,dominant_freq_Accelerometer_Accelerationx(m/s^2),dominant_freq_Accelerometer_Accelerationy(m/s^2),dominant_freq_Accelerometer_Accelerationz(m/s^2),dominant_freq_Gyroscope_Gyroscopex(rad/s),dominant_freq_Gyroscope_Gyroscopey(rad/s),dominant_freq_Gyroscope_Gyroscopez(rad/s),dominant_freq_LinearAcceleration_LinearAccelerationx(m/s^2),dominant_freq_LinearAcceleration_LinearAccelerationy(m/s^2),dominant_freq_LinearAcceleration_LinearAccelerationz(m/s^2),max_Accelerometer_Accelerationx(m/s^2),max_Accelerometer_Accelerationy(m/s^2),max_Accelerometer_Accelerationz(m/s^2),max_Gyroscope_Gyroscopex(rad/s),max_Gyroscope_Gyroscopey(rad/s),max_Gyroscope_Gyroscopez(rad/s),max_LinearAcceleration_LinearAccelerationx(m/s^2),max_LinearAcceleration_LinearAccelerationy(m/s^2),max_LinearAcceleration_LinearAccelerationz(m/s^2),mean_Accelerometer_Accelerationx(m/s^2),mean_Accelerometer_Accelerationy(m/s^2),mean_Accelerometer_Accelerationz(m/s^2),mean_Gyroscope_Gyroscopex(rad/s),mean_Gyroscope_Gyroscopey(rad/s),mean_Gyroscope_Gyroscopez(rad/s),mean_LinearAcceleration_LinearAccelerationx(m/s^2),mean_LinearAcceleration_LinearAccelerationy(m/s^2),mean_LinearAcceleration_LinearAccelerationz(m/s^2),median_Accelerometer_Accelerationx(m/s^2),median_Accelerometer_Accelerationy(m/s^2),median_Accelerometer_Accelerationz(m/s^2),median_Gyroscope_Gyroscopex(rad/s),median_Gyroscope_Gyroscopey(rad/s),median_Gyroscope_Gyroscopez(rad/s),median_LinearAcceleration_LinearAccelerationx(m/s^2),median_LinearAcceleration_LinearAccelerationy(m/s^2),median_LinearAcceleration_LinearAccelerationz(m/s^2),min_Accelerometer_Accelerationx(m/s^2),min_Accelerometer_Accelerationy(m/s^2),min_Accelerometer_Accelerationz(m/s^2),min_Gyroscope_Gyroscopex(rad/s),min_Gyroscope_Gyroscopey(rad/s),min_Gyroscope_Gyroscopez(rad/s),min_LinearAcceleration_LinearAccelerationx(m/s^2),min_LinearAcceleration_LinearAccelerationy(m/s^2),min_LinearAcceleration_LinearAccelerationz(m/s^2),range_Accelerometer_Accelerationx(m/s^2),range_Accelerometer_Accelerationy(m/s^2),range_Accelerometer_Accelerationz(m/s^2),range_Gyroscope_Gyroscopex(rad/s),range_Gyroscope_Gyroscopey(rad/s),range_Gyroscope_Gyroscopez(rad/s),range_LinearAcceleration_LinearAccelerationx(m/s^2),range_LinearAcceleration_LinearAccelerationy(m/s^2),range_LinearAcceleration_LinearAccelerationz(m/s^2),spectral_centroid_Accelerometer_Accelerationx(m/s^2),spectral_centroid_Accelerometer_Accelerationy(m/s^2),spectral_centroid_Accelerometer_Accelerationz(m/s^2),spectral_centroid_Gyroscope_Gyroscopex(rad/s),spectral_centroid_Gyroscope_Gyroscopey(rad/s),spectral_centroid_Gyroscope_Gyroscopez(rad/s),spectral_centroid_LinearAcceleration_LinearAccelerationx(m/s^2),spectral_centroid_LinearAcceleration_LinearAccelerationy(m/s^2),spectral_centroid_LinearAcceleration_LinearAccelerationz(m/s^2),std_Accelerometer_Accelerationx(m/s^2),std_Accelerometer_Accelerationy(m/s^2),std_Accelerometer_Accelerationz(m/s^2),std_Gyroscope_Gyroscopex(rad/s),std_Gyroscope_Gyroscopey(rad/s),std_Gyroscope_Gyroscopez(rad/s),std_LinearAcceleration_LinearAccelerationx(m/s^2),std_LinearAcceleration_LinearAccelerationy(m/s^2),std_LinearAcceleration_LinearAccelerationz(m/s^2),variance_Accelerometer_Accelerationx(m/s^2),variance_Accelerometer_Accelerationy(m/s^2),variance_Accelerometer_Accelerationz(m/s^2),variance_Gyroscope_Gyroscopex(rad/s),variance_Gyroscope_Gyroscopey(rad/s),variance_Gyroscope_Gyroscopez(rad/s),variance_LinearAcceleration_LinearAccelerationx(m/s^2),variance_LinearAcceleration_LinearAccelerationy(m/s^2),variance_LinearAcceleration_LinearAccelerationz(m/s^2)
0,0.2,0.2,0.2,2.4000000000000004,3.4000000000000004,0.2,5.2,4.4,2.0,23.96666107,11.9387233,15.69815552,3.11245513,3.764027357,5.842764854,15.61092792,13.04140058,14.61349234,2.1452319671488,-5.065090090967335,-3.310423439115233,-0.17262968869328787,-0.37497093618068666,0.4401248699551663,0.040852210769973356,-0.12441088552609668,-0.14244318773074666,1.0491682435,-6.460041275,-6.7213229375,-0.03184303641,-0.08120922372,0.053848508744999996,-0.059249817935,0.068577606975,-0.058266042175000005,-9.303153992,-20.10858398,-15.86475906,-4.454650879,-6.693726063,-2.066225529,-13.52964192,-12.0477037,-12.81276509,33.269815062,32.04730728,31.56291458,7.567106009,10.45775342,7.908990383000001,29.140569839999998,25.08910428,27.42625743,9.282086365722565,9.083494440977628,8.635919367991667,6.412937193688591,7.334869402154497,6.553057242002437,11.249966572089384,11.462274600562651,12.680808201094708,3.769500716449367,3.906904932430719,6.505324998709483,1.073269355787034,1.4510024023933905,1.227620970454605,2.6730068166580967,2.3837760051826136,2.2009568303631237,14.20913565131229,15.263906151051481,42.319253338834535,1.151907110071515,2.1054079717513905,1.507053247099906,7.144965441900652,5.68238804288438,4.844210969122088
1,2.0,1.4000000000000001,3.0,1.2000000000000002,0.8,1.6,2.0,2.2,2.8000000000000003,-0.4043092346,8.917855225,5.516478424,0.06403746456,0.04593836144,0.04059234262,0.4673491629,0.7699590182,0.02357246518,-0.8936750930733335,8.183266310113334,5.323005752583333,0.0015739973585511668,0.005501136891398067,0.005951257381394734,0.005087128536842333,0.06372557963111168,-0.11089951413166,-0.88376220705,8.1892453765,5.3210597995,0.0018904752215,0.0062681743875000005,0.006807392696,0.004299274944,0.056612741945,-0.09671353161,-1.261127472,7.802823944,4.912185059,-0.09007273614,-0.09459348023,-0.0548720099,-0.3209782986,-0.421862576,-0.5102789086,0.8568182374000001,1.1150312810000003,0.6042933650000002,0.15411020069999998,0.14053184167,0.09546435251999999,0.7883274615,1.1918215942,0.53385137378,9.384641031218395,11.989957172790602,8.179766641255304,5.456067739722671,6.852169037261535,7.070650284824139,10.178788200987187,11.890606191481098,7.970201936773333,0.10290789171711459,0.09202160504125842,0.07916544439768959,0.027344328208606085,0.021977610535191747,0.016524486123107862,0.09205035399946845,0.0947032150588455,0.07573949592780818,0.010590034177661382,0.008467975794369356,0.006267167586683681,0.0007477122851799706,0.0004830153648365713,0.0002730586416327843,0.008473267671427458,0.008968698942481942,0.0057364712433984714
2,0.2,0.2,0.2,1.0,0.4,1.2000000000000002,1.4000000000000001,1.2000000000000002,3.2,8.806472778,5.599439144,13.33211231,2.488589048,6.503434658,1.649827123,9.195687294,3.366801262,11.70559883,-1.8456920748450465,0.9351512407113334,6.3475374982906665,-0.1274432595791533,0.3560208745898757,-0.27353928444874964,-0.45705569336011004,-0.16852740247327333,-0.12386257952656665,-0.4967968464,2.673425436,8.4784669875,-0.017643429340000003,0.10692583765,-0.17876455935,-0.3628792018,0.16830730435,-0.25387620925,-17.85954666,-12.37263584,-6.80551815,-3.227216244,-2.657433271,-4.793419838,-10.85967255,-5.879676342,-5.776092052,26.666019438,17.972074984,20.13763046,5.715805292000001,9.160867929,6.443246961,20.055359844,9.246477603999999,17.481690882,5.995790840397047,7.2412501441798165,7.77532794721156,6.155919032920037,5.172619038358827,4.913011448907299,7.608378755557053,8.435299083572735,10.271910661785776,5.238113235510241,4.056911991101028,4.478096361159822,0.7127370805708032,1.4277868401927676,0.8563292505806952,2.3715040814196415,1.3839033231042293,1.928423406407955,27.43783026802756,16.458534903539313,20.05334701983284,0.5079941460205917,2.0385752610276477,0.7332997854000951,5.624031608190018,1.915188407698929,3.7188168343820607
0,0.4,0.2,0.2,0.2,0.8,0.6000000000000001,2.2,0.2,0.2,2.113455048,-5.024601288,-5.185067596,0.5859786272,0.7613484859,0.3685927093,0.7000260267,2.223531221,1.073040671,-0.07722840271015069,-6.768472389226667,-7.01976981355,0.046288799100613,0.010101528922007334,-0.013882170047893331,-0.06849831085514566,0.16001221577593236,-0.13656850628365033,0.005688171386499999,-6.670353927500001,-7.1471873475,0.024396464229999998,-0.0090895858595,0.0070730648005,-0.046971674625,0.079538797435,-0.076462284925,-1.704206085,-8.584199066,-8.024512939,-0.5478169918,-0.7042681575,-0.8549044132,-1.059646454,-0.9111710304,-1.440256339,3.817661133,3.5595977779999997,2.8394453429999995,1.133795619,1.4656166434000002,1.2234971225,1.7596724807,3.1347022514000003,2.51329701,8.926775282740012,10.61697133471051,10.133118074608578,7.731346903254878,8.304462449512119,7.142112470610154,10.849788052820697,10.990220195702191,11.450809042086044,0.4989477120574316,0.42356679610212433,0.4710734159764447,0.13657581216863657,0.1603831932951748,0.20932474942042004,0.27421183235831037,0.40051463137570803,0.354030986449584,0.24894881936734567,0.17940883076021857,0.2219101632397165,0.0186529524695227,0.025722768691557405,0.043816850719921634,0.07519212900530212,0.1604119699460193,0.1253379393664655
1,0.4,0.4,0.4,0.2,0.6000000000000001,1.0,3.0,8.0,3.2,-0.1486408997,8.86456604,5.581892395,0.1207897514,0.01629577205,0.06206643209,0.2278395353,0.2364327496,0.2030930954,-0.8746621307446666,8.272073634336666,5.187913677966667,0.008394442485618901,-0.007886128873577864,-0.0011286990786053667,0.005483512261357366,0.004814878034933334,-0.0215169544828457,-0.8893755341,8.254584503,5.202581176500001,0.0058050905355,-0.00092588039115,0.00033507845365,0.0068177803605,0.005155782401499999,-0.0259765479,-1.359323273,7.857310638,4.813540192,-0.04122034088,-0.1504255235,-0.09990335256,-0.3259607841,-0.3313599569,-0.172878778,1.2106823733,1.0072554019999993,0.7683522030000001,0.16201009228000002,0.16672129554999998,0.16196978465,0.5538003194000001,0.5677927064999999,0.37597187340000005,6.8012483207655015,9.909582862556709,8.023970077009956,5.682020847856815,6.862352482438441,5.8376415331350335,7.253721771424789,9.395212553612074,9.029026853640444,0.1537701388980927,0.10229076436587857,0.10509840475435787,0.021621747344453938,0.027374246930674584,0.01754904567457825,0.06752590993204828,0.05412887202198027,0.050532684447673344,0.023645255616738723,0.010463400474555693,0.011045674681910835,0.0004674999582274009,0.0007493493950215469,0.00030796900408843354,0.0045597485121510965,0.0029299347863719185,0.0025535521974881276
2,3.4000000000000004,1.8,2.6,0.8,0.8,0.8,3.4000000000000004,1.8,2.6,7.600393295,1.001973391,17.72008514,2.920553446,4.371974945,2.887264013,12.66380501,8.482515335,13.96502972,-4.269891135413866,-8.722513739338668,0.8830753564235934,-0.024929387652866657,-0.11572846861160666,0.08538886918357634,-0.22173242135216673,-0.4996381656017066,-0.7370045973154,-4.17818141,-8.3725233075,0.31184476615,-0.31731541455,0.23442457615,0.1480716467,-0.1918463707,0.22777414325,-0.1134573817,-21.79322052,-29.24756813,-15.87176132,-2.448242188,-3.890742302,-2.383394241,-16.60449982,-21.10220909,-19.99570847,29.393613815,30.249541521,33.59184646,5.368795634,8.262717247,5.270658254,29.26830483,29.584724424999997,33.96073819,8.538113897516203,8.374602554069353,10.809076063368192,6.092871857998544,6.638788351065371,6.376399297336407,8.372303692296956,8.828227213996161,10.390542121113688,4.602193378108229,4.44209699662732,4.1917699617850515,1.1567856033649313,1.8295663146593386,1.0207840845243845,4.800478059523296,4.249496571805295,4.718034942880834,21.180183889503233,19.73222572744545,17.57093541252345,1.3381529321523682,3.347312899736154,1.0420001472182858,23.044589599964542,18.05822111378496,22.259853722244554
0,5.0,5.800000000000001,0.2,0.4,0.8,0.8,5.0,5.800000000000001,0.2,7.109615479,-4.264032898,1.254391479,0.8532523513,1.70976007,1.02995801,3.630437965,4.028020563,2.519669597,2.764108007831333,-8.683509548999998,-3.26818128204921,-0.04282604689086999,0.18260326731944634,0.073010037216587,-0.12696881856289333,0.08460964512769999,-0.3172463637198167,2.7144552615000004,-8.56092247,-3.3647779085,-0.029871912675,0.18587592990000001,0.045675896105,-0.09914451153,0.1942763713,-0.15119540195,-1.48835495,-14.75017685,-7.976313171,-1.313996792,-3.833594561,-0.9524579644,-4.639100207,-5.65306295,-5.588985068,8.597970429,10.486143952,9.23070465,2.1672491433,5.543354631,1.9824159744,8.269538172,9.681083513,8.108654665,9.507729656155908,8.832036501449089,9.336253556622149,7.216616660380103,7.149703827739023,6.408656063165437,9.909873712647011,9.23950810136314,11.031709592566207,1.3047167703291902,1.4894834472471599,1.803174344217111,0.41686902432904327,0.6588206691100551,0.3332120919474379,1.2251632696681773,1.389499064661975,1.202609604176507,1.7022858507782326,2.218560939623283,3.2514377156428087,0.17377978344504846,0.4340446740466208,0.11103029821998779,1.5010250373440188,1.9307076506965033,1.446269860057575
1,0.2,6.2,0.2,1.2000000000000002,0.4,1.4000000000000001,1.4000000000000001,5.6000000000000005,4.2,1.553170166,10.11671219,6.600673828,0.4123326838,0.3271313012,0.4430992007,1.831190945,1.518400283,1.630845163,-0.9021953750467999,8.414985447709999,4.90296523132,0.006662163019093,0.008514760239463334,-0.009151748675877668,0.030473708018049425,-0.005583985692000665,-0.008328269162443664,-0.90202423095,8.3790506745,4.936135254,0.0020278937301,-0.003574878443,-0.002077820245,0.04581543798,-0.02051232487,-0.028084469134999998,-3.259621582,6.906338196,3.416495361,-0.3662284613,-0.5174466968,-0.3830420971,-1.356254069,-1.616695486,-1.28480314,4.8127917479999995,3.2103739939999993,3.1841784669999997,0.7785611451,0.844577998,0.8261412978,3.1874450139999997,3.1350957690000003,2.915648303,5.690433387689361,8.004715621355222,7.219312167207705,5.520798751317831,5.655540548689791,4.472920595465122,7.07046782425708,8.83202421861185,7.842700915402618,0.6715292205693226,0.48264229100566036,0.4150131901639922,0.11083339406158631,0.13692129564046607,0.14735774049246128,0.4070905672643044,0.43975960406718295,0.3064730262403027,0.450951494078442,0.23294358106719254,0.17223594801009395,0.012284041239210876,0.018747441199863914,0.021714303683043567,0.16572272995557316,0.1933885093693255,0.09392571581288928
2,3.6,1.8,1.8,0.8,0.8,0.8,3.6,1.8,1.8,10.34893703,3.75231266,20.86127853,4.190081596,4.291547775,3.032672405,12.21568108,12.29920578,17.06638527,-0.73544887537301,-9.922766963358166,1.093942684808,-0.08863082183435665,0.12858664096341668,-0.028406586475999997,-0.34344223592284007,-0.7138279088205334,-0.8647382251754999,-0.82570031285,-9.360730171,0.5859808624,-0.55699971315,0.373175174,0.036285541955,-0.5215803981,0.09298610687,0.10716089608,-11.98297977,-33.40210724,-14.93203735,-4.291015148,-3.609246492,-2.716954947,-9.544504166,-24.50217628,-19.1837616,22.331916800000002,37.1544199,35.79331588,8.481096743999998,7.900794267,5.749627352,21.760185246,36.80138206,36.25014687,9.37058705697131,9.404931285295353,10.1632154542899,6.111599048716414,7.089405074755019,7.144177250536428,9.64666334708439,9.762906383632155,9.921250368860363,4.045386536983856,6.205075414432298,5.4386602301036175,1.7390453290952421,1.7862978450919271,0.9602757206133903,3.9466728272607385,6.025231009119825,5.688048387384134,16.365152233610235,38.50296089879215,29.57902509851073,3.024278656647979,3.1908599913800626,0.922129459599566,15.576226405438272,36.3034087132591,32.35389445722325
0,0.6000000000000001,0.6000000000000001,0.6000000000000001,1.4000000000000001,0.6000000000000001,0.6000000000000001,0.4,4.0,1.4000000000000001,4.641398163,-4.370611267,-0.7291337585,0.9422290921,0.9435909986,0.6692177057,2.513634394,3.902107206,2.652698724,2.43936132203,-8.602053936743333,-3.8234500945949996,-0.029165827055589996,0.01857752171905999,0.026656653298767333,0.123577283159424,0.036842843914400014,0.025485212222683337,2.4447161865,-8.5117497255,-3.890858917,-0.057755425570000005,0.0035652634685,0.05551370978,0.098935254295,0.18531989869999999,-0.0296025525,-0.5400769043,-12.42206818,-6.523733826,-0.8893479705,-1.280544043,-0.7170487046,-2.388332509,-3.546995859,-2.144525982,5.1814750673,8.051456912999999,5.7946000675,1.8315770626,2.2241350416,1.3862664103000002,4.901966903,7.449103065,4.797224706,10.868406378511281,9.632057597467375,9.838985515627076,6.242444264694078,6.615186366171572,6.31740935181564,11.370345562046491,10.505995858904724,11.423141029173586,0.8579449414939285,1.2028704984213998,1.1746769376856026,0.39611088571862824,0.4155442125044117,0.3034445374741972,0.7836195841876007,1.027140346464418,0.7838594948427692,0.7360695226350205,1.4468974359725466,1.3798659079304247,0.15690383378479614,0.17267699254591168,0.09207858732292948,0.6140596527223482,1.0550172913350446,0.6144357076551612
