"Time (s)";"X (m/s^2)";"Y (m/s^2)";"Z (m/s^2)"
2.181204167E-2;-3.016676788E0;6.651268616E0;4.665647736E0
4.197104167E-2;-1.657203827E0;6.995552673E0;5.135370941E0
6.213004167E-2;-1.036893768E0;6.561156006E0;7.350015564E0
8.228904167E-2;-1.504371643E-1;6.295159149E0;8.787925415E0
1.024490417E-1;1.764830017E-1;5.485193481E0;9.316925354E0
1.226080417E-1;-2.553689575E-1;4.481680298E0;9.168434143E0
1.427670417E-1;-1.013692017E0;4.219725037E0;9.467362518E0
1.629260417E-1;-1.101110229E0;4.357738037E0;9.134305115E0
1.830850417E-1;-1.880988464E0;3.775448914E0;8.831933899E0
2.032440417E-1;-2.611170044E0;3.211870880E0;8.325986023E0
2.234040417E-1;-2.848875732E0;2.929707642E0;8.046217804E0
2.435630417E-1;-2.920726318E0;2.885998535E0;8.486452332E0
2.637220417E-1;-2.457439728E0;2.981649628E0;9.446705475E0
2.838810417E-1;-1.767823792E0;2.648741913E0;1.059466827E1
3.040400417E-1;-1.245260468E0;2.051334229E0;1.082773361E1
3.241990417E-1;-1.165775757E0;1.412163391E0;1.043659698E1
3.443590417E-1;-1.757794647E0;9.136999512E-1;1.030337402E1
3.645180417E-1;-1.892364807E0;1.210981750E-1;1.041504181E1
3.846770417E-1;-1.792522430E0;4.077520752E-1;9.067993011E0
4.048360417E-1;-2.604583740E-2;3.195554810E0;1.174562485E1
4.249950417E-1;1.094523926E0;2.698887634E0;9.134454803E0
4.451540417E-1;2.054028625E0;2.322719879E0;9.014853516E0
4.653130417E-1;2.438728638E0;7.529342651E-1;8.515192566E0
4.854730417E-1;1.953437805E0;-2.524649963E0;1.256981094E1
5.056320417E-1;-1.179397430E0;-4.651427307E0;8.867709503E0
5.257908333E-1;-4.430486755E0;2.203867035E0;1.236608459E1
5.459498333E-1;9.737251282E-1;-3.594026184E-1;7.666158142E0
5.661088333E-1;3.986360321E0;-7.694000244E-1;7.524851990E0
5.862678333E-1;3.793411560E0;1.720522156E0;8.240513763E0
6.064268333E-1;2.245630188E0;6.929090881E-1;6.476432190E0
6.265868333E-1;1.535806274E0;6.565347290E-1;6.245163116E0
6.467458333E-1;2.107317810E0;1.354832611E0;6.191125488E0
6.669048333E-1;2.357297974E0;1.283131714E0;6.223607941E0
6.870638333E-1;2.377206573E0;1.078956299E0;6.206693115E0
