"Time (s)";"Gyroscope x (rad/s)";"Gyroscope y (rad/s)";"Gyroscope z (rad/s)"
1.677204167E-2;-8.038498759E-1;-1.073192716E0;8.813074231E-2
3.693104167E-2;-1.424363971E0;-1.742109776E0;-6.716853473E-3
5.709104167E-2;-1.783800006E0;-1.884823561E0;-1.410548240E-1
7.725004167E-2;-1.850731015E0;-1.360996246E0;-3.598075509E-1
9.740904167E-2;-1.691433072E0;-5.475761294E-1;-6.390027404E-1
1.175680417E-1;-1.511417985E0;-3.170349821E-2;-7.401130795E-1
1.377270417E-1;-1.248221159E0;1.273416877E-1;-7.064002752E-1
1.578860417E-1;-1.558480382E0;6.494498253E-1;-7.085807323E-1
1.780460417E-1;-1.721470833E0;8.998181820E-1;-5.573375225E-1
1.982050417E-1;-1.817879796E0;8.238235712E-1;-3.308572769E-1
2.183640417E-1;-1.834256768E0;5.456182361E-1;-6.339351833E-2
2.385230417E-1;-1.835009813E0;2.732670903E-1;1.255587488E-1
2.586820417E-1;-1.994067907E0;2.157737613E-1;1.787277460E-1
2.788410417E-1;-2.508181810E0;6.125668883E-1;3.679794967E-1
2.990000417E-1;-2.853938341E0;6.263918877E-1;7.396647334E-1
3.191600417E-1;-2.728954792E0;2.105928957E-1;1.231039762E0
3.393190417E-1;-2.319420576E0;1.162789762E-1;1.740977407E0
3.594780417E-1;-1.812423468E0;4.812967777E-1;1.953289509E0
3.796370417E-1;-1.001907349E0;-1.746768951E-1;1.727358460E0
3.997960417E-1;9.358300567E-1;-1.120549202E0;7.145743966E-1
4.199550417E-1;2.246359825E0;-2.406200886E0;-3.588930368E-1
4.401140417E-1;2.814713478E0;-3.898498297E0;-1.364073992E0
4.602740417E-1;2.948699236E0;-4.776685715E0;-2.066225529E0
4.804330417E-1;2.316602468E0;-3.694114208E0;-1.498107910E0
5.005920417E-1;1.085886955E0;-2.808425188E0;5.821717381E-1
5.207508333E-1;1.070760369E0;-1.860397458E0;1.772702098E0
5.409098333E-1;1.402116179E0;-2.410523176E0;1.805635929E0
5.610688333E-1;1.414764881E0;-2.706124783E0;1.774922013E0
5.812278333E-1;1.040025353E0;-1.949953914E0;1.377892613E0
6.013878333E-1;2.878319472E-2;-9.499679208E-1;1.253751874E0
6.215468333E-1;-7.877177000E-1;-5.148350000E-1;1.458779216E0
6.417058333E-1;-1.045821548E0;-7.443593144E-1;1.358170629E0
6.618648333E-1;-1.058457613E0;-1.347958922E0;1.251287341E0
6.820238333E-1;-1.348541141E0;-1.833138943E0;1.249236465E0
7.021828333E-1;-1.713126540E0;-1.913164496E0;1.400682807E0
7.223418333E-1;-1.868525743E0;-1.975283027E0;1.907425284E0
7.425018333E-1;-1.463283777E0;-1.737471819E0;2.538917780E0
7.626608333E-1;-6.981926560E-1;-1.380242109E0;3.294085741E0
7.828198333E-1;1.291157007E-1;-8.727656007E-1;4.240999699E0
8.029788333E-1;6.503856778E-1;-1.252276897E-1;4.672577381E0
8.231378333E-1;1.284527421E0;7.633538246E-1;4.813621521E0
8.432968333E-1;1.688467741E0;1.002351642E0;4.732196808E0
8.634558333E-1;1.593478084E0;1.173223257E0;4.542523384E0
8.836158333E-1;1.238403320E0;1.644108295E0;3.787535667E0
9.037748333E-1;7.477426529E-1;1.313443184E0;2.464745760E0
9.239338333E-1;-3.600982726E-1;2.306002140E0;1.325928092E0
9.440928333E-1;-5.149205774E-2;1.751983881E0;8.447195888E-1
9.642518333E-1;1.467904925E0;9.818027616E-1;-1.562168717E0
9.844108333E-1;2.260392666E0;-1.056613401E-2;-1.286940694E0
1.004569833E0;2.906846046E0;-2.756336451E0;3.880749643E-1
1.024728833E0;2.506782532E0;-4.286358833E0;2.833277702E0
1.044888833E0;2.014519691E0;-4.710762978E0;3.610783100E0
1.065047833E0;2.062311411E0;-4.672006607E0;3.943338156E0
1.085206833E0;2.599925756E0;-4.573527336E0;4.905418396E0
1.105365833E0;2.983917236E0;-4.334283829E0;5.803704262E0
1.125524833E0;3.112455130E0;-4.750222683E0;5.842764854E0
1.145683833E0;1.819381475E0;-4.303608894E0;3.102122307E0
1.165842833E0;3.515774608E-1;-2.937394619E0;9.600124359E-1
1.186001833E0;-4.754381478E-1;-1.815963626E0;-4.887526035E-1
1.206161833E0;-1.080733657E0;-1.938403726E0;-6.451765299E-1
1.226320833E0;-2.142392635E0;-2.108669996E0;-1.744719595E-2
1.246479833E0;-1.443498254E0;-1.721077323E0;7.871429324E-1
1.266638833E0;-4.980042875E-1;-1.880990744E0;9.172118306E-1
1.286797833E0;-3.414675593E-2;-2.195356369E0;3.494621217E-1
1.306956833E0;-4.850336611E-1;-1.647960782E0;1.490733922E-1
1.327115833E0;-6.716488600E-1;-1.517225862E0;4.458342493E-1
1.347274833E0;-3.169723749E-1;-1.613826990E0;7.865542769E-1
1.367434833E0;-3.866730332E-1;-2.083506823E0;1.167150617E0
1.387593833E0;-4.372633100E-1;-2.049290180E0;1.442791104E0
1.407752833E0;-7.033371925E-1;-1.894863486E0;1.415452957E0
1.427911833E0;-8.780929446E-1;-1.114389658E0;1.264884591E0
1.448070833E0;-1.037541866E0;-1.011927605E0;9.170033336E-1
1.468229833E0;-8.200511932E-1;-1.072368979E0;5.781456232E-1
1.488388833E0;-4.809342623E-1;-1.265941978E0;6.393623948E-1
1.508547833E0;-8.505634069E-1;-1.106701016E0;7.649750113E-1
1.528706917E0;-1.290014744E0;-7.268865108E-1;1.104738235E0
1.548866917E0;-1.119640112E0;-1.366187215E0;1.362611532E0
1.569025917E0;-1.409272671E0;-1.147806525E0;2.332966089E0
1.589184917E0;-1.106654048E0;1.210988522E0;2.252912283E0
1.609343917E0;-1.066829562E0;1.846796513E0;1.580885530E0
1.629502917E0;-2.239797115E0;2.336768150E0;1.559618831E0
1.649661917E0;-3.800240993E0;2.799467087E0;1.200495064E-1
1.669820917E0;-4.127830029E0;2.820324183E0;9.255012274E-1
1.689979917E0;-4.454650879E0;2.613493919E0;1.699243307E0
1.710138917E0;-4.039388657E0;1.365121484E0;1.991893888E0
1.730297917E0;-3.016037703E0;-7.608323693E-1;2.237742186E0
1.750457917E0;-2.235579967E0;-2.643596649E0;2.898095369E0
1.770616917E0;-2.119780064E0;-3.256038427E0;3.403227091E0
1.790775917E0;-2.177652597E0;-5.313336849E0;4.090876102E0
1.810934917E0;-2.101300478E0;-6.693726063E0;4.901276112E0
1.831093917E0;-2.122763872E0;-5.468263626E0;4.987545490E0
1.851252917E0;-2.953931689E-2;1.860218287E0;2.029790401E0
1.871411917E0;1.042160630E0;1.404100776E0;2.279542208E0
1.891570917E0;-6.750649810E-1;1.707828522E0;1.959973574E0
1.911729917E0;-6.085551977E-1;2.247834206E0;9.979755282E-1
1.931889917E0;-7.659015656E-1;2.357329607E0;8.096550107E-1
1.952048917E0;-7.182464004E-1;1.606668115E0;1.025733590E0
1.972207917E0;-1.141940802E-1;4.389396310E-1;1.396958232E0
1.992366917E0;3.673650622E-1;3.399772346E-1;1.105225801E0
2.012525917E0;4.907282293E-1;5.990437865E-1;6.764222383E-1
2.032684917E0;6.043977737E-1;6.619429588E-1;8.353672028E-1
2.052843917E0;8.616495728E-1;8.761881590E-1;1.001114726E0
2.073002917E0;8.237754703E-1;1.654676795E0;7.817304730E-1
2.093161917E0;7.274329066E-1;1.964668155E0;-1.969908830E-3
2.113320917E0;2.869853284E-3;8.086006045E-1;1.940346509E-2
2.133479917E0;-8.616942912E-2;5.954679102E-2;6.920490861E-1
2.153639917E0;-1.523521543E-1;-6.841566414E-2;5.784375668E-1
2.173798917E0;-2.841727138E-1;-2.240435332E-1;3.972586393E-1
2.193957917E0;-5.729250908E-1;-7.491283417E-1;3.198116422E-1
2.214116917E0;-1.200335860E0;-1.779647917E-2;4.029292762E-1
2.234275917E0;-1.696273088E0;1.407930493E0;6.025739312E-1
2.254434917E0;-1.766647816E0;2.714397430E0;3.627876639E-1
2.274593917E0;-1.902835250E0;3.764027357E0;3.861333430E-1
2.294752917E0;-1.746324778E0;3.602906942E0;8.409450948E-2
2.314911917E0;-1.281196356E0;1.938464761E0;4.300444424E-1
2.335070917E0;-1.175993919E0;1.234997153E0;2.784367502E-1
2.355229917E0;-1.016050220E0;1.074857831E0;1.048955917E-1
2.375388917E0;-2.556832433E-1;5.311198831E-1;-6.363907456E-2
2.395547917E0;1.000943899E0;2.410486192E-1;-6.211637259E-1
2.415706917E0;1.892042398E0;-7.152157426E-1;-1.568935275E0
2.435866917E0;4.336110055E-1;-1.966362000E0;-1.469504476E0
2.456025917E0;-2.192322016E-1;-2.896488190E0;-1.835179329E0
