"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)"
1.677204167E-2;-6.756611176E-1;4.592216063E-1;-2.517785332E0
3.693104167E-2;3.957493494E-1;9.288272828E-1;-2.592801601E0
5.709104167E-2;7.627295208E-1;8.310448802E-1;-6.031262612E-1
7.725004167E-2;1.403236739E0;8.544056761E-1;6.944317031E-1
9.740904167E-2;1.737278522E0;5.011151522E-1;1.130865541E0
1.175680417E-1;1.443434154E0;-3.143498218E-1;8.083494973E-1
1.377270417E-1;7.207365721E-1;-4.308418527E-1;8.921301574E-1
1.578860417E-1;7.405593641E-1;2.859960884E-2;6.500905126E-1
1.780460417E-1;2.271111184E-1;-6.656674951E-2;2.846126372E-1
1.982050417E-1;-3.465792359E-1;-4.210232082E-1;-4.727631730E-1
2.183640417E-1;-4.866666824E-1;-4.252896291E-1;-8.446724010E-1
2.385230417E-1;-5.261548300E-1;-1.537189141E-1;-6.231699318E-1
2.586820417E-1;-1.208939610E-1;2.491861117E-1;1.467773920E-1
2.788410417E-1;6.487865835E-1;4.253242739E-1;1.289407530E0
2.990000417E-1;1.329735484E0;3.004536214E-1;1.506550316E0
3.191600417E-1;1.480006003E0;1.339714050E-1;1.197239040E0
3.393190417E-1;9.733851126E-1;1.552223794E-2;8.401677060E-1
3.594780417E-1;7.818981555E-1;-4.214928127E-1;1.067279409E0
3.796370417E-1;7.877064872E-1;-3.011433005E-1;-3.564567912E-1
3.997960417E-1;2.383004380E0;2.600755568E0;2.122750951E0
4.199550417E-1;3.179298673E0;1.918532705E0;-7.450814545E-2
4.401140417E-1;3.540563922E0;1.066520733E0;-5.746631849E-1
4.602740417E-1;3.308773569E0;-8.390159507E-1;-1.156009737E0
4.804330417E-1;2.081103865E0;-4.174830115E0;2.069856454E0
5.005920417E-1;-1.404146566E0;-7.762557678E0;-6.176004589E-2
5.207508333E-1;-5.778146587E0;-1.131156732E0;2.253078371E0
5.409098333E-1;-1.133853468E0;-2.781852900E0;-1.319366909E0
5.610688333E-1;1.805030502E0;-4.187782867E0;-1.670762351E0
5.812278333E-1;1.139038779E0;-1.842898825E0;-3.739920062E-1
6.013878333E-1;-5.588055360E-1;-2.515221036E0;-2.010272157E0
6.215468333E-1;-1.751380544E0;-2.582628030E0;-2.572804123E0
6.417058333E-1;-1.350601566E0;-1.719649459E0;-2.459638281E0
6.618648333E-1;-1.372559322E0;-1.352828478E0;-2.356924921E0
6.820238333E-1;-1.678969502E0;-1.375527808E0;-2.610304071E0
7.021828333E-1;-2.065272821E0;-1.475699529E0;-1.279743837E0
7.223418333E-1;-2.625823751E0;-2.785212710E0;4.279390025E-1
7.425018333E-1;-2.647383020E0;-2.987123206E0;4.226102595E0
7.626608333E-1;-2.719709569E0;-3.646751989E0;5.880232540E0
7.828198333E-1;-2.132622221E0;-5.303895298E0;5.741634234E0
8.029788333E-1;-3.208045632E-1;-5.361860501E0;5.748087806E0
8.231378333E-1;2.617120171E-1;-2.716633641E0;7.215211515E0
8.432968333E-1;2.338224356E0;-1.576702578E0;4.035104465E0
8.634558333E-1;3.949847383E0;1.306354662E0;6.047096872E-1
8.836158333E-1;8.387226251E0;3.715452388E0;-3.030319512E-2
9.037748333E-1;8.412437106E0;4.209736238E0;-2.955835340E0
9.239338333E-1;8.785566648E0;1.245085168E1;-7.900085360E-1
9.440928333E-1;6.568074431E0;1.133696645E1;-5.031926680E-1
9.642518333E-1;1.561092792E1;-2.058259232E0;8.252567214E0
9.844108333E-1;-1.537102310E0;2.103644297E0;2.467455423E0
1.004569833E0;-1.161435603E1;-2.481941608E0;-3.310518086E0
1.024728833E0;-1.352964192E1;-1.618047216E0;-5.190958666E0
1.044888833E0;-5.833722033E0;-2.165164570E-1;-4.738292373E0
1.065047833E0;-3.473499282E0;-1.808536638E0;-2.073129140E0
1.085206833E0;-6.710811982E0;-6.376075258E0;-3.562930691E-1
1.105365833E0;-6.597439733E0;-8.296132479E0;-1.711565976E0
1.125524833E0;-2.734715863E0;-7.547132220E0;-4.959112473E0
1.145683833E0;1.531984300E1;5.274044092E0;-1.281276509E1
1.165842833E0;1.110350935E1;7.108950650E0;-8.313431466E0
1.186001833E0;8.917262902E0;5.718856405E0;-3.075814650E0
1.206161833E0;3.854350072E-1;5.729718778E-1;-3.249971922E0
1.226320833E0;-2.648334947E0;-2.018575788E-2;-5.481109786E0
1.246479833E0;-3.509318740E0;-5.934929150E0;6.269880466E0
1.266638833E0;-4.113668239E-1;-2.097813307E0;4.828233075E0
1.286797833E0;4.146774589E0;1.748250237E0;1.465392934E0
1.306956833E0;4.399131061E0;2.069657941E0;-5.080477573E-1
1.327115833E0;3.624969649E-1;-4.518155229E-1;-3.616523346E-1
1.347274833E0;-1.033397718E0;-4.165447673E0;2.122378483E0
1.367434833E0;-6.210526550E-1;-1.929499889E0;-1.282881745E0
1.387593833E0;1.006334465E0;7.389027017E-1;-1.860218570E0
1.407752833E0;1.652282225E0;1.770801194E0;-1.815199102E0
1.427911833E0;8.452518600E-1;2.105872086E0;9.508274317E-2
1.448070833E0;1.105166443E0;4.726573384E-1;-3.352208277E-2
1.468229833E0;-5.133446038E-1;-1.860461229E0;2.324238986E0
1.488388833E0;-2.116604358E-1;-2.496903756E0;1.955494856E0
1.508547833E0;1.037728751E-1;-7.341354668E-1;-1.228601750E0
1.528706917E0;-4.725129122E-1;4.391399288E-1;-2.233365068E0
1.548866917E0;-5.190701973E-1;8.611893234E-1;-3.468843144E0
1.569025917E0;-3.141009058E0;-2.631052331E0;-3.522053976E0
1.589184917E0;2.324521406E0;-7.861891347E-1;6.070043685E0
1.609343917E0;2.490766518E0;2.981179512E-1;1.934549983E0
1.629502917E0;5.206401747E-1;9.957170910E-1;-1.183044924E0
1.649661917E0;7.344112215E0;1.304140058E1;-4.119984401E0
1.669820917E0;-2.633039215E0;-2.926923198E-1;-5.153496140E0
1.689979917E0;-4.237205873E0;-2.171641860E0;1.317166163E0
1.710138917E0;-7.931801827E0;-6.084792117E0;-6.889818057E-1
1.730297917E0;-7.085056588E0;-2.440744173E0;-1.687594146E0
1.750457917E0;-6.466790131E0;6.150224215E-1;5.294273704E-2
1.770616917E0;-3.945109384E0;3.612489352E0;1.341997096E0
1.790775917E0;3.921368519E0;1.793926347E0;-3.109888130E0
1.810934917E0;1.031101809E0;1.968137121E0;-6.408144897E-1
1.831093917E0;3.835878718E-1;7.882818532E-1;9.960416114E-1
1.851252917E0;7.970396959E0;-2.010747535E0;1.461349234E1
1.871411917E0;-7.650352241E-1;-1.204770370E1;-8.715763757E0
1.891570917E0;3.276584939E0;-1.139536727E1;-8.595287726E0
1.911729917E0;-5.671815263E-1;4.957503319E-1;-7.468648553E-2
1.931889917E0;-1.295530004E0;3.558428920E0;1.572694019E0
1.952048917E0;-1.398979820E0;8.881061035E-1;8.114999771E-2
1.972207917E0;1.817922735E0;-5.172406036E-1;-1.245995463E0
1.992366917E0;1.798743429E0;6.778285342E-1;-5.776563746E-1
2.012525917E0;-4.799204573E-1;3.640172410E-1;-4.983348012E-1
2.032684917E0;-1.249336562E-1;3.959588259E-1;-6.239528739E-1
2.052843917E0;2.150732363E0;1.607741060E0;-2.765276921E-1
2.073002917E0;1.337350606E0;-2.905019528E-1;8.617971414E-1
2.093161917E0;8.447396439E-1;-2.140139401E-2;1.172050989E0
2.113320917E0;-2.888843206E0;1.696608798E0;-1.361366290E0
2.133479917E0;-4.709598917E0;-2.687603093E0;8.655218178E-1
2.153639917E0;4.658883092E-1;1.385129374E-1;-8.388573450E-1
2.173798917E0;-1.036982938E0;3.968552041E-1;-6.688665068E-1
2.193957917E0;-8.063333774E-1;3.048105572E0;-8.073776901E-1
2.214116917E0;-3.317844940E0;1.760304857E0;1.109885731E0
2.234275917E0;-1.467946267E0;5.993512988E-1;-9.144776309E-1
2.254434917E0;-2.917713833E-1;-1.511443850E0;1.989731473E-1
2.274593917E0;-3.067349929E-1;-1.355398622E0;-4.938920867E-1
2.294752917E0;-1.045214356E0;1.385325256E0;-1.745749968E0
2.314911917E0;1.201882021E0;-5.038469714E-1;-2.205449291E0
2.335070917E0;2.162337478E0;-3.687622565E-1;-6.496350145E-1
2.355229917E0;-1.039096707E0;-1.297565566E0;2.779491502E-1
2.375388917E0;-6.308879641E-1;-2.273322601E0;1.207086920E0
2.395547917E0;3.310231572E-1;-2.686890902E0;2.615174802E0
2.415706917E0;-4.971092248E-1;-3.066003900E0;-1.329248704E0
2.435866917E0;-3.977252698E-1;-3.157299986E0;-5.290214567E0
2.456025917E0;3.868801466E-1;3.018460774E0;1.489403940E0
2.476184917E0;-1.359617388E0;5.106710229E0;5.187679548E0
2.496343917E0;-1.342108485E0;3.568071563E0;1.229151973E0
2.516502792E0;4.645539746E-1;7.919579977E-1;-1.840150926E0
2.536661792E0;1.670075449E0;-1.494836004E0;1.107339268E0
2.556820792E0;2.097267908E0;-3.784824924E0;-2.827771962E0
2.576979792E0;2.117677322E-1;1.447770596E-1;-1.876093760E0
2.597138792E0;-1.111799524E0;1.373753031E0;1.313537235E0
2.617297792E0;-5.524573602E-1;5.597024989E-1;5.595650893E-1
2.637456792E0;2.410039566E-1;7.176872492E-2;-2.590363312E-1
2.657615792E0;2.408620155E-1;-1.567012864E-1;-1.001183653E-1
2.677774792E0;-4.176563814E-2;-2.439633787E-2;1.173758376E-1
2.697934792E0;-1.539484173E-1;1.902415001E-1;1.126892942E-1
2.718093792E0;-2.094857101E-1;1.659971899E-1;-3.122354686E-2
2.738252792E0;-9.693426400E-2;1.847878021E-1;-2.790706462E-1
2.758411792E0;2.022376478E-2;1.190756232E-1;-1.167145175E-1
2.778570792E0;2.442292808E-1;1.805380458E-1;1.423978275E-1
2.798729792E0;3.724848863E-1;3.069320440E-2;4.687063748E-1
2.818888792E0;2.404168962E-1;-2.628048617E-1;-1.484105194E-1
2.839047792E0;1.041029942E0;1.254555202E-1;4.501923358E-1
2.859206792E0;3.193113305E-1;8.350467145E-2;-6.469587439E-1
2.879365792E0;-7.039565981E-1;3.508329391E-3;-1.114531928E-1
2.899524792E0;-1.073901819E-1;2.213767540E-1;-2.577364951E-1
2.919683792E0;-3.378415223E-1;3.212296557E-1;-7.473384798E-2
2.939842792E0;3.466966919E-1;-1.268091506E-1;4.019294178E-1
2.960001792E0;1.974391302E-1;-6.604126024E-1;-7.474302810E-1
2.980160792E0;-3.131939004E-1;7.014249730E-1;2.991979319E-1
3.000319792E0;-6.359509950E-1;6.769853657E-1;1.736792618E-1
3.020478792E0;-2.184380896E-1;4.260211158E-1;-5.722143710E-2
3.040638792E0;-3.141818605E-1;-2.359842682E-1;1.774746895E-1
3.060797792E0;2.149618468E-1;-8.532935357E-1;-1.655118710E-1
3.080956792E0;-3.032485174E-1;-2.488218302E-1;-7.676066834E-1
3.101115792E0;2.740215755E-1;5.396178979E-1;5.747391987E-1
3.121274792E0;1.296283856E-1;-5.492359829E-1;-1.507113987E-1
3.141433792E0;4.106055895E-1;-9.242185074E-1;-4.069387275E-1
3.161592792E0;-4.101857594E-1;1.226666322E0;-2.581019461E-2
3.181751792E0;-1.073198472E0;5.657257158E-1;3.405038327E-1
3.201910792E0;-8.454647718E-1;-4.712803191E-1;1.207590365E-1
3.222069792E0;-5.292469838E-1;-2.294652075E-1;-7.193408418E-1
3.242228792E0;-4.500098296E-1;-5.296665215E-1;-1.938351989E-3
3.262387792E0;-3.142633561E-1;1.459295458E-1;7.564501959E-1
3.282546792E0;-9.321046472E-3;3.885580051E-1;2.118101245E-1
3.302705792E0;2.176311739E-1;6.169865012E-2;-1.466101617E-1
3.322864792E0;-2.593702072E-1;-2.706617653E-2;8.668789566E-2
3.343023792E0;-4.591888618E-1;-4.836097580E-1;4.204609984E-1
3.363182792E0;-9.190331966E-2;-3.965762919E-1;-2.553555089E-1
3.383341792E0;5.196951185E-1;-1.626443964E-1;-1.975762475E-1
3.403501792E0;5.311539070E-1;-5.135615355E-1;2.566611922E-1
3.423660792E0;1.137437811E0;-6.081162751E-2;8.765847498E-1
3.443819792E0;2.079401010E0;2.644338959E-1;5.301804918E-1
3.463978792E0;-6.392399807E-1;-4.324091989E-1;-2.081159121E0
3.484137792E0;-1.463625175E0;5.283830577E-1;-1.472387958E0
3.504296792E0;-9.123980686E-1;5.852349508E-1;-1.344274879E-3
3.524455917E0;-9.136894262E-1;8.363494742E-1;6.234365648E-1
3.544614917E0;3.952274854E-1;3.859595025E-1;-1.267910242E-1
3.564773917E0;-3.272548460E-1;-7.768920618E-1;6.754814619E-1
3.584932917E0;1.360850273E-1;-7.152781963E-1;-2.226023304E-1
3.605091917E0;2.828459740E-1;6.587882459E-2;-1.878301084E-2
3.625250917E0;-4.183198211E-1;1.400227470E0;-3.456698477E-2
3.645409917E0;-1.680384529E-1;1.773572189E0;-4.318689162E-1
3.665568917E0;-4.710326164E-1;3.726079702E-1;-5.465363234E-1
3.685727917E0;-2.526857433E-1;1.027232999E-1;-4.748459512E-1
3.705886917E0;5.028517753E-1;-2.811592716E-1;-2.357755226E-1
3.726045917E0;6.585969689E-1;-3.783686471E-1;2.363082039E-1
3.746204917E0;4.687286673E-1;-6.582503021E-2;3.738657063E-1
3.766363917E0;4.258507425E-1;-1.447957706E-1;2.021429229E-1
3.786522917E0;5.604024106E-1;-1.199725860E-1;4.310333490E-2
3.806681917E0;-2.426422734E-2;-3.954723376E-1;-1.794533873E-1
3.826840917E0;-5.469405122E-1;-6.562739432E-2;-1.957472384E-1
3.847000917E0;-1.111206471E0;2.170182395E-1;-5.379929566E-1
3.867159917E0;-1.250108102E0;6.428487360E-2;1.985281742E-1
3.887318917E0;-1.424389042E0;3.882410860E-1;-2.266380787E-3
3.907477917E0;-5.370941665E-1;2.995563662E-1;1.717169362E-1
3.927636917E0;3.277721784E-1;-2.314801580E-1;3.384953141E-3
3.947795917E0;8.752949271E-2;-3.413130873E-1;1.951098919E-2
3.967954917E0;-9.985122062E-2;-1.345491099E-1;-2.951849878E-2
3.988113917E0;-2.053845461E-2;3.356202382E-1;-1.161262876E-1
4.008272917E0;-4.505390392E-1;3.346291351E-1;-5.822657347E-1
4.028431917E0;-8.851433194E-1;4.335687017E-1;-3.675822884E-1
4.048590917E0;-4.935404498E-2;9.290816367E-1;-3.609421903E-1
