Time (s);Acceleration x (m/s^2);Acceleration y (m/s^2);Acceleration z (m/s^2)
6.850000045e-05;-1.765279083;8.104596405;5.068609772
0.0164005;-1.771116943;8.169710999;5.110821991
0.0327325;-1.786834259;8.244255981;5.0735495
0.0490645;-1.822759552;8.197403412;5.093757477
0.0653975;-1.80075531;8.204738159;5.069058838
0.08173204167;-1.787283325;8.218210144;5.01966156
0.09806304167;-1.785786438;8.202043762;5.003794556
0.1143950417;-1.797611847;8.195607147;5.009931793
0.1307280417;-1.795067139;8.272846527;5.021607513
0.1470600417;-1.819765778;8.295000458;5.025649109
0.1633920417;-1.777553558;8.243657227;5.042114868
0.1797230417;-1.783541107;8.224646759;5.023703156
0.1960560417;-1.772464142;8.227191467;5.038522339
0.2123880417;-1.806293793;8.191266174;5.045108643
0.2287200417;-1.804497528;8.177494812;5.014272766
0.2450520417;-1.78907959;8.210276642;4.999154205
0.2613850417;-1.791773987;8.229736176;4.991370392
0.2777170417;-1.795965271;8.185128937;4.974605255
0.2940480417;-1.803000641;8.17300415;4.98807724
0.3103800417;-1.891466675;8.165819092;4.938679962
0.3267130417;-1.846110992;8.182733917;4.91203537
0.3430450417;-1.827399902;8.129893799;4.897515564
0.3593770417;-1.735790405;8.149503021;4.900209961
0.3757080417;-1.67905838;8.279133453;4.962630157
0.3920420417;-1.565145264;8.349487152;4.946164398
0.4083730417;-1.476080475;8.389154663;4.867727509
0.4247050417;-1.441203003;8.409662018;4.686005402
0.4410370417;-1.397942963;8.333171082;4.605323181
0.4573700417;-1.433568878;8.248447266;4.627327423
0.4737020417;-1.526525574;8.202792206;4.667743378
0.4900330417;-1.672322388;8.165669403;4.7470784
0.5063650417;-1.846260681;8.068371735;4.818330231
0.5226980417;-2.074236603;8.069868622;4.803361359
0.5390300417;-2.405946808;8.2174617;4.809797974
0.5553620417;-2.563718719;8.299491119;4.774621124
0.5716940417;-2.692001953;8.385562134;4.841232605
0.5880270417;-2.743494873;8.455915833;4.793182526
0.6043580417;-2.794688416;8.488098907;4.719835052
0.6206900417;-2.802621918;8.478219452;4.565056915
0.6370220417;-2.760709076;8.35442688;4.504432983
0.6533550417;-2.697540436;8.348439331;4.528383179
0.6696870417;-2.705623627;8.445587311;4.505181427
0.6860180417;-2.764002228;8.491841125;4.434228973
0.7023500417;-2.784509583;8.476273499;4.335733795
0.7186830417;-2.751128998;8.494236145;4.207001495
0.7350150417;-2.646646271;8.59662323;4.124223633
0.7513470417;-2.446362762;8.696615295;4.076323242
0.7676790417;-2.291135559;8.776100006;4.070186005
0.7840120417;-2.25236618;8.798104248;4.080813904
0.8003430417;-2.187850342;8.701405334;4.047133942
0.8166750417;-2.271825714;8.597072296;3.989653473
0.8330070417;-2.376009064;8.543633423;3.936663666
0.8493400417;-2.410736847;8.63060257;3.962859192
0.8656720417;-2.44666214;8.662935333;4.046235809
0.8820040417;-2.456691284;8.752598877;4.103117523
0.8983350417;-2.398162994;8.705147552;4.113595734
0.9146680417;-2.279459839;8.618028717;4.098626862
0.9310000417;-2.278262329;8.516839142;4.183799744
