"Time (s)";"X (hPa)"
-5.302481250E-1;1.008322525E3
4.703258750E-1;1.008327484E3
1.470900875E0;1.008332520E3
2.471486875E0;1.008339767E3
3.472059875E0;1.008351288E3
4.472628875E0;1.008366470E3
5.023585875E0;1.008371353E3
6.024157875E0;1.008371353E3
7.024734875E0;1.008370972E3
8.025311875E0;1.008362579E3
9.025890875E0;1.008362579E3
1.002646587E1;1.008377533E3
1.102704387E1;1.008395767E3
1.202761887E1;1.008405838E3
1.302819787E1;1.008405838E3
1.402878087E1;1.008381424E3
1.502934887E1;1.008345413E3
1.602993287E1;1.008308563E3
1.703050487E1;1.008266296E3
1.803108287E1;1.008257675E3
1.903165287E1;1.008253860E3
2.003223088E1;1.008253250E3
2.103281087E1;1.008229904E3
2.203338787E1;1.008202744E3
2.303396088E1;1.008174362E3
2.403453987E1;1.008126373E3
2.503511787E1;1.008074875E3
2.603569187E1;1.008074875E3
2.703627587E1;1.008081207E3
2.803684687E1;1.008137054E3
2.903742687E1;1.008203506E3
3.003812387E1;1.008269501E3
3.103857388E1;1.008279114E3
3.203915587E1;1.008279114E3
3.303973587E1;1.008279114E3
3.404030587E1;1.008285522E3
3.504088487E1;1.008295517E3
3.604145987E1;1.008309708E3
3.704203987E1;1.008309708E3
3.804261287E1;1.008290710E3
3.904318987E1;1.008224030E3
4.004376688E1;1.008201141E3
4.104434487E1;1.008201141E3
4.204491887E1;1.008225555E3
4.304549887E1;1.008260956E3
4.404607387E1;1.008300781E3
4.504664987E1;1.008300781E3
4.604722887E1;1.008285751E3
4.704780787E1;1.008235168E3
4.804838587E1;1.008188934E3
4.904896287E1;1.008133316E3
5.004953787E1;1.008075638E3
5.105011687E1;1.008036728E3
5.205069288E1;1.008036728E3
5.305126488E1;1.008038483E3
5.405184788E1;1.008040543E3
5.505241687E1;1.008038483E3
5.605299587E1;1.008017120E3
5.705356887E1;1.007978210E3
5.805415387E1;1.007950058E3
5.905472087E1;1.007949371E3
6.005530187E1;1.007950058E3
6.105587587E1;1.007987213E3
6.205645087E1;1.007997665E3
6.305703087E1;1.007997665E3
6.405760687E1;1.007959366E3
6.505818387E1;1.007952042E3
6.605876387E1;1.007931671E3
6.705934487E1;1.007885666E3
6.805990987E1;1.007772446E3
6.906049287E1;1.007693863E3
7.006106587E1;1.007650299E3
7.106164487E1;1.007643890E3
7.206222487E1;1.007643890E3
7.306279787E1;1.007735367E3
7.406337387E1;1.007771759E3
7.506394787E1;1.007773972E3
7.606452687E1;1.007773972E3
7.706510287E1;1.007798080E3
7.806597187E1;1.007836075E3
7.906625787E1;1.007948303E3
8.006683187E1;1.008059158E3
8.106740687E1;1.008149338E3
8.206798587E1;1.008215714E3
8.306856187E1;1.008273697E3
8.406914587E1;1.008327789E3
8.506970987E1;1.008340988E3
8.607029187E1;1.008340988E3
8.707087187E1;1.008318634E3
8.807144987E1;1.008281021E3
8.907202187E1;1.008228455E3
9.007260087E1;1.008169098E3
9.107317787E1;1.008122940E3
9.207374987E1;1.008093872E3
9.307432987E1;1.008053665E3
9.407490388E1;1.008053665E3
9.507548387E1;1.008057175E3
9.607605687E1;1.008080444E3
9.707663688E1;1.008090973E3
9.807721087E1;1.008128815E3
9.907779087E1;1.008164597E3
1.000783649E2;1.008190994E3
1.010789409E2;1.008224487E3
1.020795159E2;1.008266907E3
1.030801009E2;1.008300400E3
1.040806699E2;1.008321152E3
1.050812499E2;1.008330307E3
1.060818239E2;1.008330307E3
1.070824019E2;1.008326035E3
1.080829799E2;1.008316956E3
1.090839649E2;1.008314209E3
1.100841329E2;1.008301773E3
1.110847109E2;1.008300018E3
1.120852829E2;1.008300018E3
1.130858579E2;1.008305893E3
1.140864389E2;1.008313065E3
1.150870089E2;1.008332825E3
1.160875899E2;1.008353348E3
