"Time (s)";"X (m/s^2)";"Y (m/s^2)";"Z (m/s^2)"
3.147650000E-2;7.915331975E-2;7.866317689E-2;-4.329219997E-2
4.655250000E-2;4.929977551E-2;4.919847250E-2;-3.311979890E-2
6.162750000E-2;4.015765384E-2;3.206262231E-2;-3.414013803E-2
7.670604167E-2;7.418640241E-2;6.491111040E-2;-7.602257431E-2
9.178204167E-2;7.414707989E-2;5.026617408E-2;-1.091277552E-1
1.068580417E-1;6.536163837E-2;2.675218105E-2;-1.089657873E-1
1.219340417E-1;7.019129232E-2;3.574870706E-2;-9.378583074E-2
1.370090417E-1;5.726529121E-2;1.261074847E-1;-8.032437086E-2
1.520850417E-1;4.578720689E-2;1.267781603E-1;-7.689556360E-2
1.671610417E-1;9.614386663E-2;7.324514687E-2;-5.726646066E-2
1.822370417E-1;8.595889404E-2;5.920890570E-2;-7.073727608E-2
1.973120417E-1;8.767271295E-2;5.033224761E-2;-5.342659414E-2
2.123880417E-1;5.135697216E-2;2.308890045E-2;-4.459729850E-2
2.274640417E-1;6.273886979E-2;-6.817853451E-4;-7.107582986E-2
2.425400417E-1;7.234438330E-2;8.887767792E-3;-6.888721704E-2
2.576160417E-1;7.505749136E-2;4.764720619E-2;-8.798948586E-2
2.726910417E-1;7.568489760E-2;3.739469826E-2;-8.087693274E-2
2.877670417E-1;7.304941133E-2;-1.555534780E-2;-8.707439661E-2
3.028430417E-1;5.870516807E-2;-1.196281850E-2;-8.403267503E-2
3.179190417E-1;1.483921006E-2;-3.814957380E-2;-1.373972887E-1
3.329940417E-1;3.083499938E-2;-1.713292658E-2;-1.385643929E-1
3.480700417E-1;8.544828594E-2;-7.771125019E-2;-1.440215993E-1
3.631460417E-1;1.615840039E-1;-7.423975825E-2;-1.184680974E-1
3.782220417E-1;2.478555778E-1;5.513456583E-2;-1.769893706E-2
3.932980417E-1;3.335025229E-1;8.622070312E-2;8.182593584E-3
4.083730417E-1;4.689504960E-1;1.291176313E-1;-5.413586140E-2
4.234490417E-1;5.035882321E-1;1.503155422E-1;-1.602052304E-1
4.385250417E-1;5.974961235E-1;6.808965683E-2;-2.543503726E-1
4.536010417E-1;6.273565382E-1;1.196515739E-2;-2.390669203E-1
4.686760417E-1;5.923874111E-1;-7.898945153E-2;-1.633808532E-1
4.837520417E-1;5.584744374E-1;-9.289237618E-2;-1.190203670E-1
4.988280417E-1;4.065990043E-1;-1.811233521E-1;9.308767319E-3
5.139040417E-1;3.602922723E-1;-2.301791525E-1;8.507114053E-2
5.289790417E-1;9.835089818E-2;-1.826582462E-1;6.845276892E-2
5.440550417E-1;-6.591010720E-2;-7.637574613E-2;1.223050404E-1
5.591310417E-1;-2.104926006E-1;2.584937096E-2;1.066891739E-1
5.742070417E-1;-2.635462886E-1;6.530638218E-2;1.969546884E-1
