"Time (s)";"Latitude (°)";"Longitude (°)";"Height (m)";"Velocity (m/s)";"Direction (°)";"Horizontal Accuracy (m)";"Vertical Accuracy (°)"
3.774106503E-2;5.228189760E1;4.825862104E0;-1.448885833E0;NaN;NaN;1.940623033E1;3.000000000E1
5.540800095E-2;5.228178365E1;4.826393895E0;-1.449858581E0;NaN;NaN;5.206088764E1;3.000354277E1
4.651219845E-1;5.228181170E1;4.825834761E0;-1.365734563E0;NaN;NaN;2.637291667E1;3.000000000E1
6.909293771E0;5.228181898E1;4.825763483E0;-3.413914430E0;2.189837217E0;NaN;2.452074895E1;7.255672831E0
7.859289289E0;5.228180482E1;4.825811717E0;-3.428142662E0;1.420207500E0;NaN;2.098496320E1;6.600851538E0
8.809284329E0;5.228179211E1;4.825841564E0;-3.436505712E0;5.325722694E-1;NaN;1.916982228E1;6.443120455E0
9.759279370E0;5.228180140E1;4.825838122E0;-3.445442774E0;3.599430323E-1;NaN;1.648162763E1;6.406242647E0
1.072327459E1;5.228182710E1;4.825815160E0;-3.457281638E0;7.890157700E-1;NaN;1.585175935E1;6.405551584E0
1.172380316E1;5.228182580E1;4.825809300E0;-3.465298571E0;7.890157700E-1;NaN;1.563250691E1;6.433269427E0
1.272400761E1;5.228186449E1;4.825855616E0;-3.466204372E0;7.890157700E-1;1.529282203E1;1.338273269E1;6.345854231E0
1.372400904E1;5.228187114E1;4.825856488E0;-3.460626267E0;8.874416351E-1;2.287526866E1;1.320983107E1;2.548836411E1
1.472437370E1;5.228188170E1;4.825848044E0;-3.460584767E0;1.424024343E0;2.564366618E1;1.052130380E1;6.472397280E0
1.572428751E1;5.228191140E1;4.825851427E0;-3.461056558E0;2.179946184E0;1.551453919E1;1.063303980E1;6.483446678E0
1.672428322E1;5.228194405E1;4.825850974E0;-3.463977188E0;2.179946184E0;1.542231203E1;9.058460180E0;6.491022494E0
1.772416806E1;5.228197373E1;4.825862804E0;-3.466255605E0;2.638614178E0;1.650935303E1;9.212553524E0;6.446869445E0
1.872389472E1;5.228199662E1;4.825873729E0;-3.466254992E0;2.638614178E0;1.650936172E1;9.359476671E0;6.446869445E0
1.972389388E1;5.228204016E1;4.825881387E0;-3.466566279E0;3.409192801E0;1.275702574E1;9.474604997E0;6.424378381E0
2.072471285E1;5.228210587E1;4.825890378E0;-3.457919251E0;4.679783344E0;1.661523701E1;8.378986141E0;7.032912465E0
2.172386408E1;5.228216816E1;4.825912231E0;-3.456105545E0;5.230459213E0;2.036233240E1;7.896784166E0;8.754807540E0
2.272386324E1;5.228222959E1;4.825941419E0;-3.453118497E0;5.230459213E0;2.154037183E1;7.610059823E0;9.879058539E0
2.372363591E1;5.228228617E1;4.825972792E0;-3.452586059E0;5.575597286E0;2.302527353E1;7.574783696E0;8.057084098E0
2.472428429E1;5.228234985E1;4.826019796E0;-3.447003143E0;5.907857418E0;2.502035316E1;7.467374552E0;8.084827043E0
2.572428465E1;5.228241047E1;4.826059853E0;-3.444524276E0;7.144555569E0;2.427872519E1;7.614098458E0;8.102403962E0
2.672428334E1;5.228269721E1;4.826168379E0;-3.442525134E0;7.339869499E0;2.419845802E1;1.729937835E1;8.137370318E0
2.772428167E1;5.228276808E1;4.826230036E0;-3.427345059E0;7.339869499E0;2.501654969E1;1.710013083E1;8.259719170E0
2.872428048E1;5.228284736E1;4.826280855E0;-3.414228166E0;7.519707680E0;2.507326989E1;1.719097657E1;8.358820020E0
2.972427833E1;5.228292226E1;4.826342022E0;-3.413871841E0;7.714542866E0;2.571287814E1;1.696203072E1;8.272952736E0
3.072427666E1;5.228297828E1;4.826441019E0;-3.429098692E0;7.866077900E0;2.659405467E1;1.564655274E1;8.086929565E0
3.172427440E1;5.228304535E1;4.826507524E0;-3.444541281E0;7.866077900E0;2.565422364E1;1.442941101E1;7.956419311E0
3.272427177E1;5.228309741E1;4.826546274E0;-3.445481390E0;6.792379856E0;2.216515372E1;1.397874623E1;7.850757544E0
3.372426927E1;5.228311597E1;4.826646559E0;-3.432256723E0;5.847202301E0;2.452767754E1;1.421001346E1;8.028564688E0
3.472426653E1;5.228313240E1;4.826658784E0;-3.433940221E0;4.228948116E0;2.452767754E1;1.429878668E1;8.060450258E0
3.572426319E1;5.228315720E1;4.826677165E0;-3.429306126E0;2.636912346E0;2.409041977E1;1.389895250E1;7.923643758E0
3.672426093E1;5.228319899E1;4.826707629E0;-3.403333480E0;2.985866547E0;2.409041977E1;1.378978554E1;9.195688363E0
3.772425735E1;5.228324626E1;4.826741928E0;-3.381492288E0;2.985866547E0;2.044370461E1;1.374250991E1;1.059384584E1
3.872425413E1;5.228328142E1;4.826763301E0;-3.456224339E0;3.596731901E0;2.044370461E1;1.290027224E1;1.125604828E1
3.972425067E1;5.228331410E1;4.826783164E0;-3.535307085E0;3.649522305E0;2.044370461E1;1.251198736E1;1.130359533E1
4.072424734E1;5.228335670E1;4.826779826E0;-3.628916337E0;4.508034229E0;5.244075285E1;1.182699133E1;1.291012592E1
4.172424304E1;5.228336734E1;4.826851483E0;-3.657614944E0;4.508034229E0;6.240647276E1;1.149425843E1;1.315061840E1
4.272423983E1;5.228339162E1;4.826857610E0;-3.665036611E0;4.508034229E0;7.213637475E1;1.164077051E1;1.352142547E1
4.372423553E1;5.228334015E1;4.826976630E0;-3.623206332E0;4.244574070E0;1.146302185E2;1.161375056E1;1.362613940E1
4.472423172E1;5.228332921E1;4.827015549E0;-3.586204674E0;3.716236115E0;1.146302185E2;1.209751894E1;1.420718644E1
4.572422779E1;5.228331363E1;4.827070943E0;-3.510144016E0;3.642353296E0;1.146302185E2;1.278411681E1;1.475224396E1
4.672422373E1;5.228329261E1;4.827145697E0;-3.485506373E0;4.296018600E0;1.146302185E2;2.005261368E1;2.209491429E1
4.772421980E1;5.228327023E1;4.827225288E0;-3.443242564E0;4.296018600E0;1.146302185E2;1.810503794E1;1.893280703E1
4.872421527E1;5.228324175E1;4.827326592E0;-3.423820974E0;5.204414845E0;1.146302185E2;1.949108926E1;1.907344211E1
4.972421098E1;5.228320574E1;4.827454644E0;-3.473777153E0;5.985483646E0;1.146302185E2;2.024029453E1;1.912086039E1
5.072420657E1;5.228314577E1;4.827671467E0;-3.583501320E0;8.157397270E0;1.142203293E2;1.198642726E1;1.536587518E1
5.172420299E1;5.228311087E1;4.827797948E0;-3.478909759E0;8.157397270E0;1.142203293E2;1.425613984E1;1.881634006E1
5.272419870E1;5.228309304E1;4.827922659E0;-3.425770831E0;7.991011143E0;1.142203293E2;1.178661539E1;1.520662791E1
5.372419369E1;5.228305356E1;4.828008324E0;-3.248367734E0;7.441208839E0;1.142203293E2;1.153596623E1;1.429883634E1
5.472418940E1;5.228296763E1;4.828178517E0;-3.379256842E0;7.441208839E0;1.331235809E2;1.371952267E1;1.667613503E1
5.572418487E1;5.228284505E1;4.828305708E0;-4.385846340E0;8.448394775E0;1.583701935E2;1.072221656E1;1.361003044E1
5.672418058E1;5.228276283E1;4.828369479E0;-4.507029091E0;8.471859932E0;1.601245117E2;1.325275429E1;1.682933185E1
5.772417569E1;5.228268221E1;4.828412741E0;-4.439048350E0;8.471859932E0;1.572093811E2;1.366707355E1;1.714513225E1
5.872417092E1;5.228261170E1;4.828487585E0;-4.270214896E0;8.471859932E0;1.515561523E2;1.151144790E1;1.448400585E1
5.972416615E1;5.228256250E1;4.828607161E0;-4.247950770E0;8.440054893E0;1.377581787E2;1.147538131E1;1.353352838E1
6.072416210E1;5.228265263E1;4.828326144E0;9.671193874E-1;9.727106172E0;1.189876251E2;3.993393655E1;5.924665415E0
6.172415733E1;5.228246942E1;4.828909634E0;-3.878741707E0;9.414615631E0;1.144884338E2;1.175846421E1;1.390463346E1
6.272415197E1;5.228243277E1;4.829042732E0;-3.893058613E0;9.414615631E0;1.141880417E2;1.183209999E1;1.404635463E1
6.372414708E1;5.228239892E1;4.829164483E0;-3.979463396E0;9.419931412E0;1.144801941E2;1.195548921E1;1.432121770E1
6.472414243E1;5.228235739E1;4.829312880E0;-4.189737869E0;9.732518196E0;1.145897369E2;1.050654796E1;1.458214618E1
6.572413826E1;5.228230516E1;4.829498971E0;-4.255945641E0;1.141642857E1;1.145897369E2;1.234087811E1;1.765631142E1
6.672413290E1;5.228225290E1;4.829686193E0;-4.016937685E0;1.180634689E1;1.146328125E2;9.940829902E0;1.421055403E1
6.772412765E1;5.228220097E1;4.829870870E0;-3.525944754E0;1.180634689E1;1.146328125E2;9.647059140E0;7.297792635E0
6.872412372E1;5.228214731E1;4.830062027E0;-3.461449301E0;1.206674576E1;1.145201721E2;9.438219958E0;7.097588940E0
6.972411823E1;5.228211236E1;4.830252053E0;-3.445016127E0;1.229084682E1;1.145201721E2;9.449323545E0;7.000449659E0
7.072411311E1;5.228205435E1;4.830394300E0;-3.440397929E0;1.174269772E1;1.145201721E2;9.740583062E0;7.094345998E0
7.172410905E1;5.228201052E1;4.830551196E0;-3.442250750E0;1.174269772E1;1.144904022E2;9.845443510E0;7.041146859E0
7.272410369E1;5.228196977E1;4.830698016E0;-3.480272500E0;1.144479752E1;1.142720947E2;9.828362751E0;6.900486325E0
7.372409832E1;5.228193073E1;4.830839021E0;-3.470712487E0;1.123310184E1;1.133808975E2;9.843665001E0;6.822377651E0
7.472409332E1;5.228189373E1;4.830978586E0;-3.459534544E0;1.061461544E1;1.133808975E2;9.703819420E0;6.765761826E0
7.572408926E1;5.228185825E1;4.831113128E0;-3.438486341E0;1.025680923E1;1.125498581E2;9.663788563E0;6.684961409E0
7.672408319E1;5.228182464E1;4.831240724E0;-3.404096877E0;1.025680923E1;1.134487152E2;9.374645652E0;6.488485330E0
7.772407913E1;5.228179946E1;4.831337211E0;-3.380163548E0;8.949633598E0;1.128376923E2;9.016512824E0;6.588215150E0
7.872407365E1;5.228177845E1;4.831418549E0;-3.452566781E0;7.798627377E0;1.128376923E2;8.829472526E0;6.514082607E0
7.972406876E1;5.228175669E1;4.831499796E0;-3.447315225E0;7.114954472E0;1.139471970E2;8.486513468E0;6.435390576E0
8.072406375E1;5.228172713E1;4.831608326E0;-4.266423296E0;6.055187367E0;1.139471970E2;6.169835010E0;3.000000000E0
8.172405875E1;5.228171131E1;4.831666405E0;-4.455937542E0;5.220435659E0;1.139471970E2;6.258190501E0;3.000000000E0
8.272405434E1;5.228169387E1;4.831728482E0;-5.273433561E0;4.902387998E0;1.148023453E2;6.392084857E0;3.000000000E0
8.372404909E1;5.228167762E1;4.831785835E0;-5.183242999E0;4.526661704E0;1.148023453E2;6.506900289E0;3.000000000E0
8.472404337E1;5.228167317E1;4.831801543E0;-5.455825041E0;3.551253672E0;1.148023453E2;6.267814450E0;3.000000000E0
8.572403872E1;5.228166630E1;4.831825759E0;-5.317469683E0;3.703675607E0;7.522269417E1;1.441080603E1;3.000000000E0
8.672403347E1;5.228184236E1;4.831964465E0;-4.849349579E0;4.729492248E0;2.276303673E1;6.132366846E0;3.000000000E0
8.772402811E1;5.228191592E1;4.832015302E0;-3.388612512E0;5.993605873E0;2.276303673E1;6.115543754E0;3.000000000E0
8.872402322E1;5.228197807E1;4.832044052E0;-2.971278916E0;6.760781041E0;2.368202209E1;6.243526199E0;3.000000000E0
8.972401869E1;5.228205773E1;4.832084728E0;-2.915852776E0;7.954400214E0;2.368202209E1;6.443011817E0;3.000000000E0
9.072401369E1;5.228213695E1;4.832136489E0;-2.505288221E0;8.696286593E0;2.368202209E1;8.563711355E0;3.000000000E0
9.172400856E1;5.228221019E1;4.832207008E0;-2.428331226E0;8.987263003E0;2.441091156E1;1.124115305E1;3.000000000E0
9.272400308E1;5.228228751E1;4.832264220E0;-1.935926536E0;9.039496671E0;2.441091156E1;1.200239077E1;3.000000000E0
9.372399843E1;5.228235833E1;4.832316633E0;-2.325051230E0;8.764707949E0;2.441091156E1;1.255904218E1;3.000000000E0
9.472399294E1;5.228242280E1;4.832364343E0;-7.527258191E-1;8.260318590E0;2.441091156E1;1.194656677E1;3.000000000E0
9.572398829E1;5.228246949E1;4.832398954E0;-1.504405187E-1;7.260683932E0;2.468872643E1;1.030085028E1;3.000000000E0
9.672398245E1;5.228252108E1;4.832437623E0;-2.179166555E0;6.466939886E0;2.468872643E1;1.030085027E1;3.000000000E0
9.772397792E1;5.228255198E1;4.832460787E0;-2.404778420E0;5.312280791E0;2.468872643E1;1.025469576E1;3.000000000E0
9.872397208E1;5.228257151E1;4.832475430E0;-2.595212423E0;4.097675651E0;2.468872643E1;1.281540230E1;3.000000000E0
9.972396743E1;5.228258303E1;4.832484062E0;-3.151194089E0;2.843364894E0;2.468872643E1;1.311433760E1;3.000000000E0
1.007239627E2;5.228258061E1;4.832482246E0;-3.485535347E0;1.549244183E0;2.468872643E1;1.316158845E1;3.000000000E0
1.017239568E2;5.228257726E1;4.832479734E0;-3.725889610E0;0.000000000E0;2.468872643E1;1.296670646E1;3.000000000E0
1.027239524E2;5.228258512E1;4.832485627E0;-4.424373718E0;6.830839330E-1;2.468872643E1;1.332695009E1;3.000000000E0
1.037239474E2;5.228258212E1;4.832483383E0;-3.890198007E0;0.000000000E0;2.468872643E1;1.334058968E1;3.000000000E0
1.047239416E2;5.228258212E1;4.832483383E0;-3.890198007E0;0.000000000E0;2.468872643E1;1.365776266E1;3.102896933E0
1.057239372E2;5.228258212E1;4.832483383E0;-3.890198007E0;0.000000000E0;2.468872643E1;1.331357886E1;3.096949423E0
1.067239318E2;5.228258212E1;4.832483383E0;-3.890198007E0;0.000000000E0;2.468872643E1;1.336484097E1;3.170673521E0
1.077239261E2;5.228258212E1;4.832483383E0;-3.890198007E0;0.000000000E0;2.468872643E1;1.312254325E1;3.199351659E0
1.087239212E2;5.228258212E1;4.832483383E0;-3.890198007E0;0.000000000E0;2.468872643E1;1.317215533E1;3.275585458E0
1.097239159E2;5.228258212E1;4.832483383E0;-3.890198007E0;0.000000000E0;2.468872643E1;1.320377762E1;3.278177551E0
1.107239114E2;5.228258212E1;4.832483383E0;-3.890198007E0;0.000000000E0;2.468872643E1;1.329075252E1;3.115699153E0
1.117239058E2;5.228258212E1;4.832483383E0;-3.890198007E0;0.000000000E0;2.468872643E1;1.365012457E1;3.202058688E0
1.127239009E2;5.228258212E1;4.832483383E0;-3.890198007E0;0.000000000E0;2.468872643E1;1.364969514E1;3.234779901E0
1.137238954E2;5.228259484E1;4.832438278E0;-3.890198007E0;0.000000000E0;9.443935156E0;1.349957781E1;3.166163329E0
1.147238910E2;5.228259484E1;4.832438278E0;-3.890198007E0;0.000000000E0;9.443935156E0;1.345933469E1;3.084395483E0
1.157238853E2;5.228259484E1;4.832438278E0;-3.890198007E0;0.000000000E0;9.443935156E0;1.336844927E1;3.110451856E0
1.167238799E2;5.228259484E1;4.832438278E0;-3.890198007E0;0.000000000E0;9.443935156E0;1.352884997E1;3.198386750E0
1.177238752E2;5.228259484E1;4.832438278E0;-3.890198007E0;0.000000000E0;9.443935156E0;1.371511288E1;3.479442302E0
1.187238704E2;5.228259484E1;4.832438278E0;-3.890198007E0;0.000000000E0;9.443935156E0;1.365977929E1;3.486514238E0
1.197238653E2;5.228259484E1;4.832438278E0;-3.890198007E0;0.000000000E0;9.443935156E0;1.373895652E1;3.520920957E0
1.207238598E2;5.228259484E1;4.832438278E0;-3.890198007E0;0.000000000E0;9.443935156E0;1.362620778E1;3.514247027E0
1.217238550E2;5.228259484E1;4.832438278E0;-3.890198007E0;0.000000000E0;9.443935156E0;1.370162287E1;3.552857550E0
1.227238501E2;5.228259484E1;4.832438278E0;-3.890198007E0;0.000000000E0;9.443935156E0;1.379739894E1;3.599833838E0
1.237238445E2;5.228259484E1;4.832438278E0;-3.890198007E0;0.000000000E0;9.443935156E0;1.405112619E1;3.679939624E0
1.247238395E2;5.228259484E1;4.832438278E0;-3.890198007E0;0.000000000E0;9.443935156E0;1.413817504E1;3.735197056E0
1.257238345E2;5.228260326E1;4.832438714E0;-3.890198007E0;0.000000000E0;9.443935156E0;7.275982824E0;3.684375627E0
1.267238290E2;5.228260151E1;4.832438624E0;-3.890198007E0;0.000000000E0;9.443935156E0;6.601550581E0;3.954156973E0
1.277238243E2;5.228260036E1;4.832438564E0;-3.890198007E0;0.000000000E0;9.443935156E0;6.134510663E0;3.986062008E0
1.287238185E2;5.228260033E1;4.832438563E0;-3.890198007E0;0.000000000E0;9.443935156E0;6.131066844E0;3.904251176E0
1.297238135E2;5.228259951E1;4.832438520E0;-3.890198007E0;0.000000000E0;9.443935156E0;5.784804283E0;3.954830013E0
1.307238085E2;5.228260240E1;4.832435327E0;-3.890198007E0;0.000000000E0;9.443935156E0;5.332839598E0;3.975219582E0
1.317238039E2;5.228260156E1;4.832435653E0;-3.890198007E0;0.000000000E0;9.443935156E0;5.063811371E0;3.933997229E0
1.327237978E2;5.228260155E1;4.832435659E0;-3.890198007E0;0.000000000E0;9.443935156E0;5.086028011E0;3.880990636E0
1.337237937E2;5.228258867E1;4.832443051E0;-2.212679852E0;0.000000000E0;9.436153957E-1;1.562959367E1;3.962855912E0
1.347237880E2;5.228258867E1;4.832443051E0;-2.212679852E0;0.000000000E0;9.436153957E-1;1.558947697E1;3.922726614E0
1.357237829E2;5.228258867E1;4.832443051E0;-2.212679852E0;0.000000000E0;9.436153957E-1;1.557028657E1;3.966588034E0
1.367237781E2;5.228263204E1;4.832478005E0;-3.858391004E0;1.927845460E0;1.750506391E1;1.553761873E1;3.882239022E0
1.377236488E2;5.228267620E1;4.832506067E0;-3.565496201E0;3.113044167E0;2.110899558E1;1.588726511E1;3.825917608E0
1.387233366E2;5.228272942E1;4.832542709E0;-3.270095781E0;4.314917852E0;2.408443528E1;1.639406707E1;3.717183176E0
1.397233384E2;5.228278730E1;4.832588589E0;-3.552572861E0;5.362311216E0;2.696057423E1;1.634556203E1;3.465026443E0
1.407236595E2;5.228285654E1;4.832648767E0;-3.794677695E0;6.432230697E0;2.926293898E1;1.587511220E1;3.155568357E0
1.417233539E2;5.228292976E1;4.832709541E0;-3.724051639E0;7.251971754E0;2.890689772E1;1.511459233E1;3.000000000E0
1.427233620E2;5.228300907E1;4.832773904E0;-4.290985849E0;8.016311844E0;2.805025376E1;1.527980217E1;3.000000000E0
1.437236896E2;5.228307800E1;4.832827986E0;-4.590151817E0;8.277335624E0;2.725047556E1;1.557286743E1;3.000000000E0
1.447233928E2;5.228316469E1;4.832889737E0;-3.195482846E0;8.910471932E0;2.603223145E1;1.667743030E1;3.000000000E0
1.457234021E2;5.228327509E1;4.832957628E0;-6.708507687E-1;1.008910499E1;2.435371478E1;1.446730978E1;3.000000000E0
1.467237225E2;5.228337596E1;4.833029179E0;5.174888782E-1;1.082622003E1;2.411762483E1;1.289420971E1;3.000000000E0
1.477234212E2;5.228346837E1;4.833098147E0;8.976001097E-1;1.102260921E1;2.390956682E1;1.584902611E1;3.614071490E0
1.487234290E2;5.228355644E1;4.833219544E0;-2.355810397E0;1.151671380E1;2.581960487E1;1.501645753E1;3.000000000E0
1.497237527E2;5.228366151E1;4.833302504E0;-2.200118800E0;1.194007703E1;2.589599800E1;1.323636373E1;3.000000000E0
1.507234508E2;5.228377706E1;4.833392686E0;-1.720111865E0;1.249914803E1;2.533214951E1;1.406647146E1;3.000000000E0
1.517234560E2;5.228389162E1;4.833479950E0;-3.259977512E-1;1.274733867E1;2.460339165E1;1.307310351E1;3.000000000E0
1.527234592E2;5.228400532E1;4.833564846E0;3.493748978E-1;1.293881864E1;2.460339165E1;1.017823626E1;3.000000000E0
1.537234616E2;5.228411582E1;4.833638659E0;-7.718807841E-1;1.289605912E1;2.256907654E1;8.493501927E0;3.000000000E0
1.547234638E2;5.228422348E1;4.833711568E0;-1.377897492E0;1.289973893E1;2.218240738E1;8.564783202E0;3.000000000E0
1.557234662E2;5.228433907E1;4.833788412E0;-6.093374444E-1;1.327476368E1;2.218240738E1;8.438708543E0;3.000000000E0
1.567234671E2;5.228444623E1;4.833860807E0;-2.648913922E0;1.332231358E1;2.260763741E1;8.158730311E0;3.000000000E0
1.577234683E2;5.228454253E1;4.833959051E0;-6.796288462E-1;1.335989901E1;2.260763741E1;6.439554803E0;3.000000000E0
1.587234700E2;5.228466894E1;4.834054506E0;-1.165377589E0;1.366924236E1;2.343409538E1;6.252708440E0;3.000000000E0
1.597234693E2;5.228478631E1;4.834141522E0;-1.191870509E0;1.370180065E1;2.343409538E1;6.694452444E0;3.000000000E0
1.607234696E2;5.228490510E1;4.834225667E0;-6.535187224E-1;1.379114077E1;2.599288368E1;7.203488253E0;3.000000000E0
1.617234693E2;5.228502585E1;4.834315000E0;-1.609861959E0;1.390872014E1;2.599288368E1;7.285158584E0;3.000000000E0
1.627234688E2;5.228515044E1;4.834422886E0;-3.784559006E-1;1.426380278E1;2.544466972E1;7.612456519E0;3.000000000E0
1.637234684E2;5.228528122E1;4.834514619E0;-3.023229302E0;1.451421231E1;2.303918648E1;8.195716091E0;3.000000000E0
1.647234671E2;5.228539034E1;4.834603210E0;-6.520730869E0;1.429019395E1;2.207795715E1;8.924363395E0;3.000000000E0
