"Time (s)";"X (µT)";"Y (µT)";"Z (µT)"
3.147650000E-2;5.162971497E0;-1.649929810E1;2.612783813E1
4.655250000E-2;5.273399353E0;-1.647531891E1;2.631787109E1
6.162750000E-2;5.298332214E0;-1.643592072E1;2.631277466E1
7.670604167E-2;4.884330750E0;-1.642414856E1;2.684616089E1
9.178204167E-2;4.957145691E0;-1.634171295E1;2.657485962E1
1.068580417E-1;4.966896057E0;-1.640702820E1;2.665545654E1
1.219340417E-1;4.976211548E0;-1.656130981E1;2.665344238E1
1.370090417E-1;4.944198608E0;-1.632025909E1;2.698794556E1
1.520850417E-1;5.281295776E0;-1.638713074E1;2.622866821E1
1.671610417E-1;5.326896667E0;-1.635295105E1;2.646505737E1
1.822370417E-1;5.447006226E0;-1.641676331E1;2.648654175E1
1.973120417E-1;5.252120972E0;-1.624594879E1;2.623727417E1
2.123880417E-1;5.181549072E0;-1.653278351E1;2.610656738E1
2.274640417E-1;5.320022583E0;-1.671166992E1;2.614004517E1
2.425400417E-1;5.064849854E0;-1.662071991E1;2.643197632E1
2.576160417E-1;5.381912231E0;-1.650151062E1;2.680834961E1
2.726910417E-1;5.409194946E0;-1.630492401E1;2.617807007E1
2.877670417E-1;5.173171997E0;-1.648392487E1;2.604931641E1
3.028430417E-1;5.107460022E0;-1.659721375E1;2.647045898E1
3.179190417E-1;5.161994934E0;-1.631163025E1;2.643447876E1
3.329940417E-1;5.052017212E0;-1.637987518E1;2.609436035E1
3.480700417E-1;5.080261230E0;-1.643803406E1;2.629025269E1
3.631460417E-1;5.074310303E0;-1.636505127E1;2.653024292E1
3.782220417E-1;4.918342590E0;-1.618197632E1;2.623098755E1
3.932980417E-1;4.876884460E0;-1.617212677E1;2.624499512E1
4.083730417E-1;4.946250916E0;-1.591471863E1;2.670797729E1
4.234490417E-1;4.898223877E0;-1.615300751E1;2.688229370E1
4.385250417E-1;4.930976868E0;-1.580957031E1;2.702258301E1
4.536010417E-1;4.909530640E0;-1.563568878E1;2.672882080E1
4.686760417E-1;4.983444214E0;-1.560993195E1;2.732406616E1
4.837520417E-1;5.221649170E0;-1.568366241E1;2.740023804E1
4.988280417E-1;4.926612854E0;-1.593777466E1;2.732077026E1
5.139040417E-1;4.760307312E0;-1.556770325E1;2.706951904E1
5.289790417E-1;4.888259888E0;-1.527487946E1;2.781756592E1
5.440550417E-1;4.781585693E0;-1.534455109E1;2.800036621E1
5.591310417E-1;5.013763428E0;-1.504350281E1;2.789151001E1
5.742070417E-1;5.040214539E0;-1.489805603E1;2.802615356E1
5.892830417E-1;4.744560242E0;-1.463082123E1;2.819015503E1
6.043580417E-1;4.643066406E0;-1.510776520E1;2.825772095E1
6.194340417E-1;4.702339172E0;-1.456561279E1;2.829806519E1
6.345100417E-1;4.756103516E0;-1.461071777E1;2.849618530E1
6.495860417E-1;4.784027100E0;-1.452065277E1;2.842828369E1
6.646610417E-1;4.813232422E0;-1.428388214E1;2.833850098E1
6.797370417E-1;4.742095947E0;-1.434602356E1;2.870751953E1
6.948130417E-1;4.726882935E0;-1.407444763E1;2.861743164E1
7.098890417E-1;4.801841736E0;-1.406877136E1;2.902951050E1
7.249650417E-1;4.857826233E0;-1.398130035E1;2.893267822E1
7.400400417E-1;4.732917786E0;-1.377626038E1;2.867324829E1
7.551160417E-1;4.772216797E0;-1.358139801E1;2.879962158E1
7.701920417E-1;4.836769104E0;-1.354331970E1;2.905209351E1
7.852680417E-1;4.679321289E0;-1.324080658E1;2.895449829E1
8.003430417E-1;4.620018005E0;-1.344938660E1;2.912365723E1
8.154190417E-1;4.634727478E0;-1.347338867E1;2.926184082E1
8.304950417E-1;4.461776733E0;-1.338301849E1;2.929254150E1
8.455710417E-1;4.453727722E0;-1.326206207E1;2.929711914E1
8.606470417E-1;4.768852234E0;-1.326861572E1;2.931652832E1
8.757220417E-1;4.737686157E0;-1.320766449E1;2.911651611E1
8.907980417E-1;4.810852051E0;-1.340168762E1;2.904141235E1
9.058740417E-1;4.909790039E0;-1.345022583E1;2.893777466E1
9.209500417E-1;4.840118408E0;-1.301615143E1;2.878869629E1
9.360250417E-1;4.839035034E0;-1.338800049E1;2.881738281E1
9.511010417E-1;4.691551208E0;-1.361510468E1;2.928924561E1
