"Time (s)";"X (m/s^2)";"Y (m/s^2)";"Z (m/s^2)"
3.198083334E-3;-2.890489197E-1;7.609276428E0;6.322402496E0
1.953108333E-2;-1.884580994E-1;7.477700043E0;6.342161407E0
3.586408333E-2;-1.914518738E-1;7.405999146E0;6.157595215E0
5.219608333E-2;-2.932402039E-1;7.569159851E0;6.193071442E0
6.853008333E-2;-3.432362366E-1;7.715854797E0;6.256240082E0
8.486308334E-2;-2.860551453E-1;7.826923828E0;6.228996735E0
1.011960833E-1;-3.375480652E-1;7.753875732E0;6.260581055E0
1.175280833E-1;-3.818559265E-1;7.740403748E0;6.324049072E0
1.338620833E-1;-3.611988831E-1;7.899223480E0;6.394253082E0
1.501950833E-1;-2.643502808E-1;7.739804993E0;6.177803192E0
1.665280833E-1;-3.034190369E-1;7.469167786E0;5.982459412E0
1.828600833E-1;-3.109034729E-1;7.453001404E0;5.912105713E0
1.991940833E-1;-3.626957703E-1;7.492968292E0;6.179599457E0
2.155270833E-1;-3.706292725E-1;7.585475922E0;6.361770630E0
2.318600833E-1;-2.727328491E-1;7.669301605E0;6.363716583E0
2.481920833E-1;-1.437011719E-1;7.570507050E0;6.221961365E0
2.645260833E-1;-1.489402771E-1;7.620652771E0;6.128555603E0
2.808590833E-1;-2.550695801E-1;7.583829346E0;6.190526733E0
2.971910833E-1;-1.754351807E-1;7.399712219E0;6.030659180E0
3.135240833E-1;-1.020877075E-1;7.137457581E0;5.921236725E0
3.298580833E-1;-1.932481384E-1;7.158414001E0;5.737269287E0
3.461910833E-1;-4.266128540E-2;7.439379730E0;6.127358093E0
3.625230833E-1;-3.053649902E-2;7.534881134E0;6.308631134E0
3.788560833E-1;2.095642090E-3;7.789801025E0;6.279890900E0
3.951900833E-1;1.266366577E-1;8.047714691E0;6.516848145E0
4.115230833E-1;-2.589614868E-2;8.104895782E0;6.453230438E0
4.278550833E-1;-1.013392639E-1;7.936346283E0;6.389762421E0
4.441880833E-1;-1.317260742E-1;7.736960907E0;6.218518524E0
4.605220833E-1;-3.257226562E-1;7.723339233E0;5.906417542E0
4.755990833E-1;-3.239263916E-1;7.656278687E0;5.692662048E0
4.906760833E-1;-3.538641357E-1;7.612569580E0;5.696104889E0
5.057523750E-1;-4.273612976E-1;7.479196930E0;5.722450104E0
5.208293750E-1;-2.661465454E-1;7.508685608E0;5.858367462E0
5.359053750E-1;-1.577719116E-1;7.624245300E0;6.080355835E0
5.509823750E-1;7.334747314E-3;7.923922119E0;6.184239807E0
5.660593750E-1;1.442999268E-1;8.210576019E0;6.313121796E0
5.823913750E-1;2.007325745E-1;8.263565826E0;6.222410431E0
5.987243750E-1;3.019221497E-1;8.155340881E0;5.856870575E0
6.150563750E-1;2.588117981E-1;7.990832977E0;5.613476715E0
6.313913750E-1;2.312690735E-1;8.061036987E0;5.499862976E0
6.464673750E-1;2.007325745E-1;8.267757111E0;5.731132050E0
6.615443750E-1;1.938468933E-1;8.144862671E0;5.436544647E0
6.766203750E-1;1.007405090E-1;8.452922058E0;5.821693726E0
6.916973750E-1;-7.155120850E-2;8.647517395E0;5.799390106E0
7.067743750E-1;-2.052232361E-1;8.765472107E0;6.056555328E0
7.218503750E-1;-2.995271301E-1;8.864266663E0;6.130800934E0
7.369273750E-1;-2.086660767E-1;8.756490784E0;6.056405640E0
7.520033750E-1;-1.676513672E-2;8.367898865E0;6.079158325E0
7.670803750E-1;3.619473267E-1;8.217162323E0;5.953569489E0
7.821573750E-1;5.798941040E-1;8.386310577E0;5.739215240E0
7.972333750E-1;7.312294006E-1;8.510103149E0;5.587879944E0
8.123103750E-1;8.925938416E-1;8.557853851E0;5.460943909E0
8.273873750E-1;9.925859070E-1;8.394992523E0;5.463338928E0
8.424633750E-1;1.148860931E0;7.874674530E0;5.502108307E0
8.575403750E-1;1.283431091E0;6.714137878E0;5.835914154E0
8.726173750E-1;1.372645569E0;7.193740540E0;5.594316559E0
8.876933750E-1;1.637145538E0;7.828420715E0;5.753285980E0
9.027703750E-1;2.017504578E0;7.827821960E0;5.488486633E0
9.178463750E-1;2.026036835E0;7.660769348E0;5.584736481E0
9.329233750E-1;1.817071381E0;7.029082947E0;5.559139709E0
9.480003750E-1;1.813179474E0;6.535559235E0;6.049519958E0
9.630763750E-1;1.195264435E0;6.290219421E0;6.575226746E0
9.781533750E-1;8.322692871E-1;6.800208893E0;6.725813599E0
9.932303750E-1;5.530998230E-1;6.934030609E0;6.675218811E0
1.008306375E0;5.605842590E-1;6.637347565E0;6.666686554E0
1.023383375E0;4.813989258E-1;6.098767548E0;6.401737518E0
1.038459375E0;8.047265625E-1;5.970634003E0;7.117998047E0
1.053536375E0;1.382225647E0;6.118227081E0;7.142846375E0
1.068613375E0;1.584006042E0;6.074517975E0;7.295828247E0
1.083689375E0;1.900148621E0;5.983806610E0;7.181615753E0
1.098766375E0;1.857936401E0;6.109245758E0;7.356003113E0
1.113843375E0;1.722767487E0;6.087540894E0;7.895032196E0
1.128919375E0;1.239272919E0;6.012846222E0;8.034392395E0
1.143996375E0;8.598120117E-1;6.124663696E0;7.725285187E0
1.159072375E0;7.289840698E-1;6.361770630E0;7.406897278E0
1.174149375E0;8.898994446E-1;6.790179749E0;7.315437469E0
1.189226375E0;8.021818542E-1;7.012018433E0;7.061565399E0
1.204302375E0;7.442523193E-1;6.712042236E0;6.907535706E0
1.219379375E0;7.934999084E-1;6.261179810E0;6.599176941E0
1.234456375E0;8.921447754E-1;6.269412689E0;6.223458252E0
1.249532375E0;5.933660889E-1;6.384373627E0;6.646628265E0
1.264609375E0;3.026705933E-1;7.205715637E0;6.741979980E0
1.279685375E0;3.460803223E-1;7.661667480E0;6.971602478E0
1.294762375E0;4.110452271E-1;8.038733368E0;6.853647766E0
1.309839375E0;3.858975220E-1;7.548652496E0;6.566844177E0
1.324915375E0;3.146456909E-1;6.675817566E0;6.077511749E0
1.339992375E0;5.397775269E-1;6.514752502E0;5.748795319E0
1.355069375E0;5.662724304E-1;6.482719116E0;5.784570923E0
1.370145375E0;5.739065552E-1;6.496640167E0;5.984555054E0
1.385222375E0;6.351292419E-1;6.802903290E0;6.592141571E0
1.400299375E0;5.405259705E-1;6.949897614E0;6.728957062E0
1.415375375E0;5.923182678E-1;6.934329987E0;6.685697021E0
1.430452375E0;3.354524231E-1;6.676116943E0;6.495292969E0
1.445528375E0;2.827619934E-1;6.522536316E0;6.041436768E0
1.460605375E0;3.189866638E-1;6.516548767E0;5.899681549E0
1.475682375E0;2.318678284E-1;6.820716248E0;6.645879822E0
1.490758375E0;4.430786133E-2;7.091203766E0;6.660249939E0
1.505835583E0;2.404000854E-1;7.625143433E0;6.315516815E0
1.520912583E0;2.484832764E-2;8.032147064E0;6.351591797E0
1.535988583E0;-5.002597046E-1;7.869734802E0;6.152954865E0
1.551065583E0;-8.117619324E-1;7.610324249E0;5.902675323E0
1.566141583E0;-7.975415039E-1;7.822283478E0;5.776188354E0
1.581218583E0;-8.604107666E-1;8.389154663E0;5.659281464E0
1.596295583E0;-1.141975250E0;7.573650513E0;5.657185822E0
1.611371583E0;-8.604107666E-1;8.179141388E0;5.357658691E0
1.626448583E0;-5.322930908E-1;8.776249695E0;5.143304443E0
1.641525583E0;-3.656895447E-1;9.184899902E0;4.866979065E0
1.656601583E0;-2.227368164E-1;9.499994659E0;4.538412323E0
1.671678583E0;-3.546125793E-1;9.046138458E0;4.623585205E0
1.686755583E0;-5.953120422E-1;8.677604828E0;4.688250732E0
1.701831583E0;-9.693841553E-1;8.098010101E0;4.813091125E0
1.716908583E0;-1.296753387E0;7.929909668E0;4.857249298E0
1.731985583E0;-1.423240356E0;8.127049713E0;5.006638641E0
1.747061583E0;-1.449136505E0;8.660839691E0;5.242697754E0
1.762138583E0;-1.687291260E0;9.120833130E0;5.397326202E0
1.777214583E0;-1.636247406E0;9.243428192E0;5.154680786E0
1.792291583E0;-1.403780823E0;8.964109039E0;4.832550659E0
1.807368583E0;-1.144669647E0;8.693022766E0;4.776866455E0
1.822444583E0;-1.025068359E0;8.703650665E0;5.073848877E0
1.837521583E0;-1.060694275E0;8.587641907E0;5.127736816E0
1.852598583E0;-1.443448334E0;8.409063263E0;5.335055695E0
1.867674583E0;-1.559008026E0;8.336314545E0;5.185067596E0
1.882751583E0;-1.481768646E0;8.455616455E0;5.028642883E0
1.897828583E0;-1.922901306E0;8.593180389E0;5.101541290E0
1.912904583E0;-2.459685059E0;8.765322418E0;5.358257446E0
1.927981583E0;-2.523602142E0;8.627608795E0;5.282664642E0
1.943058583E0;-1.884431305E0;8.622070312E0;5.067262573E0
1.958134583E0;-1.242117004E0;8.919052734E0;4.944667511E0
1.973211583E0;-1.111289062E0;8.962462463E0;4.853357391E0
1.988287583E0;-1.050814819E0;8.959618378E0;4.829706573E0
2.003364583E0;-1.284329224E0;8.719068604E0;4.819677429E0
2.018441583E0;-1.396296387E0;8.732839966E0;4.853207703E0
2.033517583E0;-1.483864288E0;9.032067719E0;4.960983582E0
2.048594583E0;-1.432221680E0;9.164691925E0;5.082231445E0
2.063671583E0;-1.498982849E0;9.162895660E0;4.967270508E0
2.078747583E0;-1.729503479E0;9.019643555E0;4.830155640E0
2.093824583E0;-1.790127411E0;8.791667633E0;4.598736877E0
2.108901583E0;-1.955683136E0;8.723858643E0;4.530478821E0
2.123977583E0;-2.292033691E0;8.727151794E0;4.449646912E0
2.139054583E0;-2.758014679E0;8.721164246E0;4.204456787E0
2.154131583E0;-3.126398621E0;8.599467316E0;3.937711487E0
2.169207583E0;-2.960244141E0;8.599018250E0;4.106410675E0
2.184284583E0;-2.620450745E0;8.630153503E0;4.507726135E0
2.199361583E0;-2.372117157E0;8.751401367E0;4.821473694E0
2.214437583E0;-2.435734863E0;8.526419220E0;4.817581787E0
2.229514583E0;-2.356699219E0;8.038733368E0;4.424349518E0
2.244591583E0;-2.103276215E0;7.732919312E0;4.393214264E0
2.259667583E0;-1.792372742E0;7.577243042E0;4.466711426E0
2.274744583E0;-1.828597412E0;7.761958923E0;4.482279053E0
2.289821583E0;-1.894909515E0;8.070766754E0;4.652774506E0
2.304897583E0;-1.834135895E0;8.328830109E0;4.738995209E0
2.319974583E0;-1.763333130E0;8.443042603E0;5.084027710E0
2.335050583E0;-1.668879547E0;8.260721741E0;5.126090240E0
2.350127583E0;-1.529369659E0;8.094866638E0;4.852459259E0
2.365204583E0;-1.588047638E0;7.951464844E0;4.604574738E0
2.380280583E0;-1.725761261E0;7.947722626E0;4.542753296E0
2.395357583E0;-1.825603638E0;8.056546326E0;4.633464661E0
2.410434583E0;-1.710343323E0;8.128696289E0;4.727768555E0
2.425510583E0;-1.667682037E0;8.196355591E0;4.932542725E0
2.440587583E0;-1.803150330E0;8.116122437E0;4.973856812E0
2.455664583E0;-1.730551300E0;7.956853638E0;4.765041046E0
2.470740583E0;-1.638193359E0;7.885003052E0;4.646936646E0
2.485817583E0;-1.758393402E0;7.930508423E0;4.799619141E0
