"Time (s)";"X (rad/s)";"Y (rad/s)";"Z (rad/s)"
3.460808333E-2;3.640917316E-2;2.023941651E-2;-2.019008808E-2
4.968408333E-2;3.451315314E-2;1.491118781E-2;1.005943865E-3
6.476108333E-2;1.802057773E-2;1.179703511E-3;5.134176463E-3
7.983708333E-2;7.941866643E-4;-1.291709952E-3;2.490989398E-3
9.491408333E-2;-1.524340548E-2;-7.130881771E-3;-4.365188070E-3
1.099910833E-1;-8.479249664E-3;-7.368999068E-3;-1.037599612E-2
1.250670833E-1;-1.450216770E-2;-1.267969981E-2;-6.880220957E-3
1.401440833E-1;-2.259152010E-2;-1.576790214E-2;-9.000363760E-3
1.552210833E-1;-2.965901606E-2;-2.295870334E-2;-2.520360053E-3
1.702970833E-1;-1.979248039E-2;-6.061458029E-3;-4.489189014E-4
1.853740833E-1;-6.053440738E-3;1.473145839E-2;-1.017368399E-2
2.004500833E-1;-6.909114309E-3;2.708352171E-3;-1.120059937E-2
2.155270833E-1;-3.992363345E-3;-5.429184064E-3;3.959212452E-3
2.306040833E-1;-3.351016343E-2;-2.810394391E-2;1.620776579E-2
2.456800833E-1;-4.050634056E-2;-4.370206594E-2;2.542259172E-2
2.607570833E-1;-5.088600889E-2;-2.696409822E-2;5.211891606E-2
2.758330833E-1;-5.620602518E-2;-2.585053816E-2;5.885474011E-2
2.909100833E-1;-1.574815251E-2;-2.735930309E-2;6.277290732E-2
3.059870833E-1;3.270835802E-2;-1.526736002E-2;8.493941277E-2
3.210630833E-1;8.489752561E-2;3.478941321E-2;9.173899144E-2
3.361400833E-1;1.380783319E-1;-1.074675471E-3;1.256571114E-1
3.512160833E-1;1.674861163E-1;-3.493085504E-3;1.373531818E-1
3.662930833E-1;1.536286324E-1;-3.970024176E-3;1.766607016E-1
3.813700833E-1;1.440931857E-1;9.803845547E-3;2.005916089E-1
3.964460833E-1;1.401061565E-1;3.708093986E-2;2.012199908E-1
4.115230833E-1;1.290531158E-1;6.097096205E-2;1.528199464E-1
4.265990833E-1;1.239755005E-1;5.592095107E-2;1.029419079E-1
4.416760833E-1;1.353725046E-1;6.319110841E-2;8.044858277E-2
4.567530833E-1;1.262709200E-1;6.957705319E-2;8.320034295E-2
4.718290833E-1;1.000168547E-1;7.857677341E-2;8.884400874E-2
4.869060833E-1;6.955995411E-2;7.181268930E-2;9.124499559E-2
5.019833750E-1;9.885499626E-2;7.070960850E-2;8.322781324E-2
5.170593750E-1;1.275396645E-1;6.190558895E-2;7.107929140E-2
5.321363750E-1;1.132308319E-1;1.727988198E-2;6.972202659E-2
5.472123750E-1;6.867675483E-2;-1.112871803E-2;1.006901115E-1
5.622893750E-1;-7.156220265E-3;-4.830058664E-2;1.405778676E-1
5.773663750E-1;-7.359857857E-2;-6.592039764E-2;1.720229387E-1
5.924423750E-1;-1.090519205E-1;-3.704350814E-2;1.967287809E-1
6.075193750E-1;-1.282487363E-1;-6.458712742E-3;2.053613812E-1
6.225953750E-1;-1.517820209E-1;3.472707421E-2;2.346505672E-1
6.376723750E-1;-1.618689448E-1;4.832015932E-2;2.572949529E-1
6.527493750E-1;-1.540669650E-1;5.827635899E-2;2.838162780E-1
6.678253750E-1;-1.833639741E-1;5.144161172E-3;2.898746729E-1
6.829023750E-1;-2.507033348E-1;-1.972603612E-2;3.043740094E-1
6.979793750E-1;-3.120374680E-1;-3.416274861E-2;3.270806670E-1
7.130553750E-1;-3.326269686E-1;-4.294640198E-2;3.477845788E-1
7.281323750E-1;-3.358587325E-1;-2.329862863E-2;3.671394587E-1
7.432083750E-1;-3.075932860E-1;-1.720098779E-3;3.926703930E-1
7.582853750E-1;-2.605329454E-1;5.029411055E-3;4.391305447E-1
7.733623750E-1;-2.160762697E-1;1.205243263E-2;4.835744500E-1
7.884383750E-1;-1.300025582E-1;9.010501206E-2;5.337263346E-1
8.035153750E-1;-2.896302380E-2;2.164517641E-1;6.003620625E-1
8.185923750E-1;4.379248619E-2;2.733391225E-1;6.734582782E-1
8.336683750E-1;-4.525982775E-3;2.415452898E-1;7.278505564E-1
8.487453750E-1;-5.356283858E-2;1.969507635E-1;8.000037670E-1
8.638213750E-1;-1.126916781E-1;1.880339682E-1;8.445153236E-1
8.788983750E-1;-1.292692274E-1;2.079916298E-1;8.962814212E-1
8.939753750E-1;-9.378336370E-2;3.051149845E-1;9.685840607E-1
9.090513750E-1;-5.827772990E-2;4.228381515E-1;1.026418447E0
9.241283750E-1;-1.211795676E-2;5.158714056E-1;1.092706084E0
9.392053750E-1;-3.291736543E-2;6.238673329E-1;1.076538205E0
9.542813750E-1;-7.361025363E-2;6.374649405E-1;1.008355975E0
9.693583750E-1;-9.141853452E-2;6.276829243E-1;9.147128463E-1
9.844343750E-1;-8.733830601E-2;6.540327668E-1;8.559155464E-1
9.995113750E-1;-1.133870706E-1;6.634759903E-1;7.412027717E-1
1.014588375E0;-8.607400209E-2;7.048553824E-1;6.377909184E-1
1.029664375E0;-1.292120516E-1;6.882465482E-1;5.295802355E-1
1.044741375E0;-1.769204438E-1;5.982114673E-1;5.040066838E-1
1.059818375E0;-2.661129236E-1;5.126616955E-1;4.614563584E-1
1.074894375E0;-2.854463160E-1;4.960170388E-1;4.384912252E-1
1.089971375E0;-2.459919155E-1;4.676146507E-1;3.845174313E-1
1.105047375E0;-2.064785957E-1;4.494755864E-1;3.067576587E-1
1.120124375E0;-1.315052658E-1;4.872636497E-1;1.672176868E-1
1.135201375E0;-4.097316414E-2;4.838883877E-1;8.082794957E-4
1.150277375E0;3.429861367E-2;4.389916062E-1;-1.480422020E-1
1.165354375E0;6.242372468E-2;3.980468512E-1;-2.605892420E-1
1.180431375E0;6.934312731E-2;3.517657816E-1;-3.177470267E-1
1.195507375E0;1.068336666E-1;3.321255147E-1;-3.726568818E-1
1.210584375E0;1.413249671E-1;3.414905369E-1;-4.113451242E-1
1.225661375E0;2.135975659E-1;3.663197160E-1;-4.116527140E-1
