"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)"
2.869856300E-2;-3.173514366E0;2.884414434E0;8.487444878E0
4.536455300E-2;-1.947683096E0;2.219424963E0;7.806893349E0
6.203054200E-2;-2.209249735E0;2.779668093E0;7.253233910E0
7.869653200E-2;-2.330755472E0;3.434482336E0;6.773196697E0
9.536252200E-2;-2.446874142E0;3.839700937E0;6.350021362E0
1.120285110E-1;-2.372653961E0;3.625419855E0;6.475118637E0
1.286945010E-1;-2.578555346E0;3.360262156E0;6.631340027E0
1.453604900E-1;-2.718017578E0;3.412934542E0;6.950367451E0
1.620264800E-1;-2.099116325E0;3.469796896E0;7.516596317E0
1.786924700E-1;-1.737591863E0;3.623025656E0;8.133103371E0
1.953584590E-1;-2.121262789E0;3.939658880E0;8.233060837E0
2.120244490E-1;-2.655169725E0;4.300584793E0;8.067861557E0
2.286904380E-1;-2.855684042E0;4.234744072E0;7.153874874E0
2.453564280E-1;-2.251746655E0;3.799597979E0;6.915651798E0
2.620224170E-1;-1.778891921E0;3.819948912E0;6.681618214E0
2.786884070E-1;-1.717241168E0;3.828328609E0;7.062296391E0
2.953543970E-1;-1.587355733E0;3.725377798E0;7.486070156E0
3.120203860E-1;-1.140837073E0;3.973776340E0;7.587823868E0
3.286863760E-1;-1.365293503E0;3.872022629E0;7.778761387E0
3.453523650E-1;-2.053027868E0;3.433883905E0;8.648454666E0
3.620183550E-1;-1.929726601E0;3.201047659E0;9.731831551E0
3.786843450E-1;-1.678335428E0;2.863465309E0;1.197340298E1
3.953503340E-1;-2.977189779E0;3.454234600E0;2.043989754E1
4.120163240E-1;-3.494935989E0;2.288258314E0;1.423233223E1
4.286823130E-1;-2.190694511E-1;1.313818216E0;1.217212105E1
4.453483030E-1;-4.668693244E-2;6.566098332E-1;9.641449928E0
4.620142920E-1;-1.978807688E0;3.752911091E-1;8.079233170E0
4.786802820E-1;-3.585915565E0;-2.513911724E-1;9.871891975E0
4.953462720E-1;-3.505111217E0;-9.684545994E-1;1.150114632E1
5.120122610E-1;-1.540668845E0;-7.338228226E-1;8.006210327E0
5.286782510E-1;-4.668693244E-1;-1.599925280E0;3.812167645E0
5.453442400E-1;2.044648170E0;-4.276642799E0;3.690661907E0
5.620102300E-1;4.062960148E0;-5.201403141E0;3.217807055E0
5.786762200E-1;2.591723442E0;-5.579687119E0;2.135029316E0
5.953422090E-1;-1.385045648E0;-7.040150166E0;1.060631394E0
6.120081990E-1;-5.141548157E0;-7.176619530E0;1.107318282E0
6.286741880E-1;-7.854178905E0;-5.234323502E0;1.744774461E0
6.453401780E-1;-1.201589966E1;-3.824737310E0;1.568202138E0
6.620061670E-1;-1.343326759E1;-4.848856926E0;1.768716455E0
6.786721570E-1;-1.407072353E1;-6.131550789E0;1.546055794E0
6.953381470E-1;-1.518941402E1;-4.724358559E0;6.512228847E-1
7.120041360E-1;-1.676360130E1;-1.414374709E0;-7.589619160E-1
7.286701260E-1;-1.693119621E1;-2.579752207E-1;-7.745242715E-1
7.453361150E-1;-1.468004799E1;-1.408389091E0;4.884171486E-1
7.620021050E-1;-1.144009399E1;-3.755305290E0;-2.000954151E0
7.786680950E-1;-1.328602409E1;-2.017114878E0;-2.568379879E0
7.953340840E-1;-1.541746140E1;-1.069011092E0;-2.040458441E0
8.119997390E-1;-1.588672543E1;-3.220201433E-1;-1.951274425E-1
8.286653640E-1;-1.889922905E1;1.000177741E0;-7.841010690E-1
8.453313540E-1;-1.883817673E1;-7.439981699E-1;-1.185728431E0
8.619973430E-1;-1.472074890E1;-1.937507749E0;-2.136825025E-1
8.786633330E-1;-1.147181702E1;-8.900445104E-1;1.701080322E0
8.953293230E-1;-1.090199757E1;-1.203086376E0;2.275090218E0
9.119953120E-1;-1.328542519E1;-1.736993313E0;2.879027605E0
9.286613020E-1;-1.558804893E1;-2.407968283E0;1.950077295E0
9.453272910E-1;-1.888366699E1;-2.862268209E0;-4.010287672E-2
9.619932810E-1;-2.115396881E1;-4.041412354E0;-1.561019540E0
9.786592710E-1;-1.962586975E1;-5.013458252E0;2.422932148E0
9.953252600E-1;-1.195903778E1;-3.390189648E0;1.512716484E1
1.011991250E0;-5.519233704E0;-1.126471877E0;8.849568367E0
1.028657239E0;-9.988011360E0;-4.560954273E-1;1.465849996E0
1.045323229E0;-1.172919369E1;-3.402160645E0;6.003460884E-1
1.061989218E0;-1.221461868E1;-2.583942175E0;-1.276708007E0
1.078655208E0;-1.182017422E1;-2.302024841E0;-3.029263735E0
1.095321198E0;-1.643619537E1;1.109712481E0;-2.090736628E0
1.111987187E0;-1.031362247E1;8.858546019E-1;-7.399878979E0
1.128653177E0;-2.039261341E0;-2.311601639E0;3.262099922E-1
1.145319166E0;-2.028487444E0;-2.813186944E-1;6.781576276E-1
1.161985156E0;-3.554790974E0;1.759738177E-1;-4.955997467E-1
1.178651146E0;-6.364386559E0;-3.740341663E0;8.846575022E-1
1.195317135E0;-6.280589581E0;-4.146757126E0;-5.005078793E0
1.211983125E0;-1.738788962E0;-6.678625584E0;-6.227318764E0
1.228649114E0;-5.967547894E-1;-7.975684643E0;7.583633661E-1
1.245315104E0;-1.285087705E0;-6.041169643E0;-5.907692909E-1
1.261981093E0;-3.006518841E0;-5.565321922E0;-1.275510907E0
1.278647083E0;-5.361216068E0;-2.146401882E0;1.422155857E0
1.295313073E0;-3.752911091E0;-3.181295395E0;3.766079187E0
1.311979062E0;-3.533243179E0;-9.537900925E0;2.339135170E0
1.328645052E0;-6.576871872E0;-9.957485199E0;-7.003039867E-2
1.345311041E0;-9.686341286E0;-9.695320129E0;-1.233013868E-1
1.361977031E0;-1.848323631E1;-8.215105057E0;-1.000776291E0
1.378643021E0;-2.593818283E1;-7.215525150E0;1.428141356E0
1.395309010E0;-2.165316010E1;-3.416525841E0;3.318363667E0
1.411975000E0;-8.862735748E0;-3.248333216E0;2.070385933E0
1.428640989E0;-8.040328026E0;-4.356249809E0;3.136404276E0
1.445306979E0;-9.003993988E0;-3.562572241E0;1.230619669E0
1.461972968E0;-7.724891663E0;-3.066373825E0;-1.045069098E0
1.478638958E0;-7.669825077E0;-3.420117140E0;1.262342811E0
1.495304948E0;-6.925827026E0;-5.207388878E0;1.516726732E0
1.511970937E0;-6.770802498E0;-4.802170277E0;-3.016694188E-1
1.528636927E0;-6.292560577E0;-2.940678120E0;8.984242082E-1
1.545302916E0;-4.970362663E0;-1.935113549E0;1.460463047E0
1.561968906E0;-6.713341713E0;-4.429273129E0;1.343147159E0
1.578634896E0;-7.115567684E0;-9.085396767E0;4.578910768E-1
1.595300885E0;-1.594418621E1;-1.296280670E1;1.143829823E0
1.611966875E0;-1.712572479E1;-1.249773312E1;2.182314873E0
1.628632864E0;-3.651157618E0;-1.046266174E1;-3.770269156E0
1.645298854E0;-3.215412855E0;-9.806650162E0;8.056488633E-1
1.661964843E0;-9.435548782E0;-1.202727222E1;4.567538261E0
1.678630833E0;-1.059913063E1;-1.489073753E1;3.041833162E0
1.695296823E0;-1.110490608E1;-1.353980923E1;2.324769735E0
1.711962812E0;-7.528567314E0;-1.151730728E1;2.820968151E0
1.728628802E0;-6.796540260E0;-1.118032360E1;3.437475204E0
1.745294791E0;-6.773196697E0;-1.104744530E1;1.687313676E0
1.761960781E0;-9.301473618E0;-1.126172638E1;1.874659896E0
1.778626771E0;-8.122927666E0;-8.969876289E0;6.775590777E-1
1.795292760E0;-6.987477779E0;-7.061697960E0;1.464054346E0
1.811958750E0;-1.257554412E0;-5.562927723E0;-1.197100803E-2
1.828624739E0;5.488707423E-1;-6.081871033E0;6.350619793E-1
1.845290729E0;1.231218219E0;-5.151124954E0;6.440402865E-1
1.861956718E0;-9.552865028E-1;-2.765302896E0;1.408987641E0
1.878622708E0;-2.144606113E0;-1.620275974E0;2.396595955E0
1.895288698E0;-3.636792421E0;-1.000177741E0;2.191891670E0
1.911954687E0;-3.655946016E0;-5.644330382E-1;1.329380512E0
1.928620677E0;-3.308786631E0;-4.566939771E-1;2.111087322E0
1.945286666E0;-3.200449228E0;-2.645592928E0;3.418920040E0
1.961952656E0;-3.565564871E0;-5.089474201E0;3.872022629E0
1.978618646E0;-5.140949726E0;-3.903745890E0;1.657386184E0
1.995284635E0;-6.290166378E0;-3.712209702E0;9.331400990E-1
2.011950625E0;-3.390189648E0;-9.540295601E0;1.187524080E0
2.028616614E0;-4.482543945E0;-9.692925453E0;1.087566137E0
2.045282604E0;-7.993640900E0;-7.530363083E0;-2.729389966E-1
2.061948593E0;-9.194333076E0;-7.140706539E0;-2.992752008E-3
2.078614583E0;-8.886079788E0;-8.812458038E0;-6.368576288E-1
2.095280573E0;-5.695806026E0;-9.635464668E0;-1.256955862E-1
