"Time (s)";"Gyroscope x (rad/s)";"Gyroscope y (rad/s)";"Gyroscope z (rad/s)"
7.869653200E-2;3.306311965E-1;-5.386239290E-1;-1.294295341E-1
9.536252200E-2;3.209106624E-2;-2.328932583E-1;-3.422159329E-2
1.120285110E-1;-2.395511568E-1;1.597895473E-2;1.245026886E-1
1.286945010E-1;-3.984085917E-1;2.215748429E-1;2.328932583E-1
1.453604900E-1;-4.041343927E-1;5.231776237E-1;3.262369931E-1
1.620264800E-1;-2.910832763E-1;6.966823936E-1;3.912180662E-1
1.786924700E-1;-1.027979404E-1;6.996119022E-1;4.217112362E-1
1.953584590E-1;1.082574204E-1;6.079992056E-1;5.042691827E-1
2.120244490E-1;2.418148518E-1;3.913512230E-1;6.823013425E-1
2.286904380E-1;2.676474750E-1;2.302301079E-1;8.795083165E-1
2.453564280E-1;2.350237966E-1;2.073269337E-1;9.085367322E-1
2.620224170E-1;1.850895584E-1;2.185122073E-1;6.467481852E-1
2.786884070E-1;7.097318769E-2;4.014712274E-1;4.139880836E-1
2.953543970E-1;-1.194426864E-1;5.752423406E-1;2.431464195E-1
3.120203860E-1;-3.723096550E-1;6.083986759E-1;1.696432382E-1
3.286863760E-1;-6.242445111E-1;5.572660565E-1;2.190448344E-1
3.453523650E-1;-7.671229839E-1;5.977460742E-1;2.488722205E-1
3.620183550E-1;-6.740455627E-1;9.591367245E-1;1.354216337E-1
3.786843450E-1;-2.954775095E-1;1.603754401E0;-1.427453309E-1
3.953503340E-1;1.003078818E0;1.732385010E-1;-2.404832691E-1
4.120163240E-1;2.705769539E0;-1.996037811E-1;-5.113265663E-2
4.286823130E-1;3.218028307E0;2.849580161E-2;-2.318280041E-1
4.453483030E-1;2.749445438E0;3.400854170E-1;-8.305061460E-1
4.620142920E-1;1.681252360E0;1.321459532E0;-1.194027424E0
4.786802820E-1;8.496809006E-1;2.137717724E0;-1.085370541E0
4.953462720E-1;6.336987019E-1;2.375671148E0;-5.918871164E-1
5.120122610E-1;7.803056240E-1;1.919471979E0;-1.157142594E-1
5.286782510E-1;5.167860389E-1;2.126665592E0;-5.552686751E-2
5.453442400E-1;1.158474237E-1;1.958353996E0;-6.016076207E-1
5.620102300E-1;-3.892207146E-1;1.327318549E0;-1.663808703E0
5.786762200E-1;-9.487504363E-1;1.187103152E0;-3.003643990E0
5.953422090E-1;-1.561809659E0;1.941842437E0;-4.507396698E0
6.120081990E-1;-2.226667404E0;2.196041107E0;-5.767204285E0
6.286741880E-1;-2.430665255E0;2.639190674E0;-6.386388779E0
6.453401780E-1;-2.286987782E0;3.103778839E0;-6.314616680E0
6.620061670E-1;-2.007755756E0;3.405914068E0;-5.528451920E0
6.786721570E-1;-1.515337586E0;3.423491001E0;-4.795949936E0
6.953381470E-1;-1.104811549E0;3.343196869E0;-4.102197170E0
7.120041360E-1;-1.047420502E0;2.575807571E0;-3.310173512E0
7.286701260E-1;-1.030243158E0;2.134655237E0;-2.527870655E0
7.453361150E-1;-6.442182064E-1;1.624527097E0;-2.120540380E0
7.620021050E-1;-2.488722205E-1;1.754356027E0;-2.250768900E0
7.786680950E-1;-3.150517344E-1;2.516552210E0;-2.845851898E0
7.953340840E-1;-8.374303579E-1;2.868222237E0;-2.838261843E0
8.119994270E-1;-1.244494200E0;1.791640282E0;-2.365018368E0
8.286653640E-1;-1.574725986E0;3.627222776E-1;-1.274987459E0
8.453313540E-1;-2.164482594E0;-4.414186180E-1;1.254348010E-1
8.619973430E-1;-2.728007078E0;-6.751108170E-1;8.487488031E-1
8.786633330E-1;-2.722680807E0;-5.560676455E-1;6.540718675E-1
8.953293230E-1;-2.476205349E0;-6.138581783E-2;5.978792161E-2
9.119953120E-1;-2.176333666E0;5.816339254E-1;-5.696497560E-1
9.286613020E-1;-1.913612962E0;6.579334736E-1;-7.462171912E-1
9.453272910E-1;-2.117610931E0;5.286371112E-1;-2.528669536E-1
9.619932810E-1;-2.752774477E0;3.466101587E-1;1.039564133E0
9.786592710E-1;-3.241197824E0;-8.335687965E-2;2.535727024E0
9.953252600E-1;-2.185654640E0;-7.511440516E-1;3.488738537E0
1.011991250E0;3.838943839E-1;-4.102596641E-1;2.694983959E0
1.028657239E0;6.511424184E-1;-2.464753687E-1;1.765807629E0
1.045323229E0;4.926844239E-1;-6.885597706E-1;1.484844327E0
1.061989218E0;1.700427085E-1;-1.791107655E0;1.706685543E0
1.078655208E0;-5.928192139E-1;-2.075799465E0;2.183124781E0
1.095321198E0;-1.038765192E0;-1.675260186E0;2.590854406E0
1.111987187E0;-1.675393343E0;-9.797762632E-1;3.501787901E0
1.128653177E0;-1.802426100E0;-3.435475230E-1;2.033055544E0
1.145319166E0;-1.190964699E0;2.741722167E-1;6.234455705E-1
1.161985156E0;-9.392961860E-1;1.043958366E-1;1.740374416E-1
1.178651146E0;-7.925561666E-1;1.013332009E-1;3.077280223E-1
1.195317135E0;-8.086682558E-1;-2.793653905E-1;4.390217662E-1
1.211983125E0;-1.937581420E0;-1.323590130E-1;-1.810948253E-1
1.228649114E0;-1.851960897E0;4.643217921E-1;-8.510124683E-1
1.245315104E0;-1.463139653E0;-5.970802903E-1;-1.869404554E0
1.261981093E0;-1.490836501E0;-1.649161220E0;-2.900846004E0
1.278647083E0;-1.490703344E0;-5.390233994E-1;-3.441467285E0
1.295313073E0;-1.053812027E0;5.060002208E-1;-3.722430706E0
1.311979062E0;-1.087234735E0;9.531446695E-1;-4.517916203E0
1.328645052E0;-7.303713560E-1;1.452353835E0;-5.223120689E0
1.345311041E0;-4.532696903E-1;1.407745957E0;-5.229512215E0
1.361977031E0;-4.416849315E-1;1.665806025E-1;-4.597544670E0
1.378643021E0;-3.382211924E-1;-1.564605951E0;-2.346243143E0
1.395309010E0;3.914843872E-2;-5.687175989E-1;1.438105945E-2
1.411975000E0;5.779055133E-2;8.820382953E-1;1.478053331E-1
1.428640989E0;8.082687855E-2;6.957502961E-1;3.861580743E-3
1.445306979E0;-1.238369010E-2;-3.049317189E-2;8.921582997E-2
