"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)"
9.536252200E-2;-7.015299797E-2;2.012617588E-1;-2.152776718E-1
1.120285110E-1;-1.159906387E-3;5.649566650E-3;-6.934404373E-2
1.286945010E-1;-1.478502750E-1;-1.687901020E-1;5.390071869E-2
1.453604900E-1;-1.993336678E-1;-6.834650040E-2;2.962141037E-1
1.620264800E-1;3.954517841E-1;3.641128540E-3;7.296390533E-1
1.786924700E-1;6.953078508E-1;1.293671131E-1;1.173623085E0
1.953584590E-1;3.087735176E-1;3.608202934E-1;1.141918659E0
2.120244490E-1;-1.956243515E-1;5.920438766E-1;8.955039978E-1
2.286904380E-1;-3.811364174E-1;4.123766422E-1;6.456375122E-3
2.453564280E-1;1.719205379E-1;-8.004641533E-2;-1.893072128E-1
2.620224170E-1;5.758349895E-1;-9.839677811E-2;-3.685302734E-1
2.786884070E-1;6.073235273E-1;-1.060454845E-1;2.971792221E-2
2.953543970E-1;7.319967747E-1;-1.896202564E-1;4.348506927E-1
3.120203860E-1;1.156366467E0;8.921122551E-2;5.002479553E-1
3.286863760E-1;9.221944809E-1;4.941272736E-2;6.310739517E-1
3.453523650E-1;2.731912136E-1;-2.886235714E-1;1.388431549E0
3.620183550E-1;4.762430191E-1;-4.207148552E-1;2.331364632E0
3.786843450E-1;8.845187426E-1;-6.781227589E-1;4.378777027E0
3.953503340E-1;-3.594408035E-1;-1.928722858E-1;1.226749802E1
4.120163240E-1;-8.580696583E-1;-1.639284134E0;5.927420616E0
4.286823130E-1;2.326905251E0;-2.905127287E0;3.905058861E0
4.453483030E-1;2.493134975E0;-3.730727196E0;1.520871162E0
4.620142920E-1;7.927877903E-1;-4.009952545E0;1.372208595E-1
4.786802820E-1;-4.362263680E-1;-4.506597519E0;2.013638973E0
4.953462720E-1;-5.558967590E-3;-5.070589066E0;3.673149586E0
5.120122610E-1;2.132347822E0;-4.747239113E0;3.353805542E-1
5.286782510E-1;3.354491711E0;-5.472513676E0;-3.557346106E0
5.453442400E-1;5.931051254E0;-7.843383789E0;-3.419838428E0
5.620102300E-1;7.929760933E0;-8.323752403E0;-3.698991776E0
5.786762200E-1;6.525763035E0;-8.120976448E0;-4.596476078E0
5.953422090E-1;2.847197533E0;-8.812585831E0;-5.421844959E0
6.120081990E-1;-5.188293457E-1;-8.033890724E0;-5.107517242E0
6.286741880E-1;-2.825668812E0;-5.176817894E0;-4.152462959E0
6.453401780E-1;-6.543174744E0;-2.918867588E0;-3.929924011E0
6.620061670E-1;-7.558030605E0;-3.161540508E0;-3.277730942E0
6.786721570E-1;-7.858986855E0;-3.743120909E0;-3.027413607E0
