"Time (s)";"X (m/s^2)";"Y (m/s^2)";"Z (m/s^2)"
-4.392916671E-4;-2.632725220E0;2.823728027E0;8.690028992E0
1.593870833E-2;-2.667003937E0;2.894081726E0;9.954748993E0
3.231670833E-2;-2.419718170E0;3.839365997E0;1.168979095E1
4.869370833E-2;-2.158361664E0;4.334685974E0;1.193183762E1
6.507570833E-2;-2.017055511E0;4.556674347E0;1.053853500E1
8.145370834E-2;-2.238295441E0;4.080215149E0;7.838749237E0
9.783070834E-2;-1.902843018E0;3.194656677E0;5.289250946E0
1.142087083E-1;-3.434757385E0;1.828597412E0;7.872878265E0
1.305897083E-1;-4.557722168E0;2.070195007E0;5.640270996E0
1.469677083E-1;-3.883823547E0;-1.150357819E0;5.750890961E0
1.633457083E-1;-3.339555359E0;-2.442021790E0;5.196893005E0
1.797237083E-1;-2.423310699E0;-2.287992096E0;7.459288330E0
1.961047083E-1;2.535726929E-1;-9.220825195E-2;1.468221817E1
2.124827083E-1;-5.686674500E-1;3.264710999E-1;1.014275803E1
2.288607083E-1;-2.389031982E-1;-3.153941345E-1;8.328680420E0
2.452377083E-1;2.921325073E0;-1.899549866E-1;8.390651550E0
2.616197083E-1;2.202519836E0;-3.604504395E-1;9.291328583E0
2.779977083E-1;5.242098999E-1;1.291813660E-1;7.655230865E0
2.943747083E-1;1.555265808E-1;-2.427951050E0;9.174571381E0
3.107527083E-1;-7.918533325E-2;-5.573809204E0;1.119746475E1
3.271347083E-1;4.640350342E-1;-6.710695038E0;1.245993942E1
3.435117083E-1;1.485211487E0;-3.892954559E0;7.653883667E0
3.598897083E-1;4.044589233E0;3.267854462E0;8.027506714E0
3.762677083E-1;4.147874451E0;1.550176392E0;5.543123016E0
3.926487083E-1;5.957012329E0;-6.182144165E-1;1.294792465E1
4.090267083E-1;9.799821167E0;1.294957123E0;1.257085876E1
4.254047083E-1;8.787626038E0;2.584226074E0;1.288730072E1
4.417827083E-1;7.988887024E0;2.168091431E0;7.574249268E0
4.581637083E-1;8.872200165E0;4.227808228E0;3.725901947E0
4.745417083E-1;6.612050171E0;2.040856018E0;4.103117523E0
4.909187083E-1;5.468727722E0;-1.166075134E-1;6.404731293E0
5.072967083E-1;5.119803314E0;-2.109563141E0;6.530170441E0
5.236787083E-1;6.475833435E0;1.960922241E-1;4.680466919E0
5.400557083E-1;5.506598969E0;-6.405180359E-1;1.760039978E0
5.564337083E-1;5.610482941E0;-9.496252441E-1;4.501289520E0
5.728117083E-1;5.255421295E0;-3.032843170E0;7.398215332E0
5.891927083E-1;6.657106476E0;-3.045417023E0;8.504414978E0
6.055707083E-1;8.422385559E0;-8.273295593E-1;5.642366638E0
6.206897083E-1;1.052745804E1;1.422940979E0;2.517015839E0
6.358087083E-1;1.041549088E1;1.083446960E0;1.379531250E0
6.509267083E-1;9.783355408E0;-3.830534363E-1;8.619076538E-1
6.660457083E-1;1.326466599E1;7.253915405E-1;1.684746552E0
6.811647083E-1;1.397404083E1;-1.294807434E-1;7.475454712E-1
6.962837083E-1;1.254017258E1;-5.201683044E-1;-1.667083282E0
7.114027083E-1;8.460705872E0;-4.251608734E0;-1.074914703E0
7.265207083E-1;7.682773590E0;-4.919819183E0;2.428849182E0
7.416397083E-1;9.798923035E0;-3.354673920E0;3.263214111E0
7.567587083E-1;9.735754395E0;-3.708388367E0;1.656006317E0
7.718777083E-1;9.275162201E0;-4.077371063E0;1.612297211E0
7.869957083E-1;9.657616882E0;-4.359384613E0;2.049537964E0
8.021147083E-1;9.212742004E0;-4.329895935E0;8.985813904E-1
8.172337083E-1;7.260352020E0;-6.638545074E0;-3.079396362E0
8.323527083E-1;5.513484650E0;-3.764371948E0;3.089575195E0
8.474717083E-1;7.841293945E0;-5.009482727E0;3.105891266E0
8.625897083E-1;5.252876587E0;-4.519551544E0;-7.999365234E-1
8.777087083E-1;4.996908875E0;-3.622766418E0;-8.517288208E-1
8.928277083E-1;5.550757141E0;-7.937094727E0;7.644602966E-1
9.079467083E-1;5.020410004E0;-9.526938629E0;-2.791694641E-1
9.230647083E-1;6.107748871E0;-4.817881165E0;-2.042203217E0
9.381837083E-1;8.350085907E0;-3.963308258E0;1.968855743E0
9.533017083E-1;4.027075653E0;-6.416856079E0;9.205856323E-1
9.684207083E-1;6.963070221E0;-7.770640869E0;1.080752563E0
9.835387083E-1;7.272776184E0;-1.116588043E1;-7.200027466E-2
9.986577083E-1;7.321425018E0;-1.610186600E1;-5.589376831E-1
1.013776708E0;7.606881409E0;-2.076377151E1;-4.984634399E-1
1.028895708E0;8.583450623E0;-9.822723541E0;-3.480262756E-1
1.044014708E0;4.056863708E0;-8.675060120E0;-6.204597473E-1
1.059132708E0;4.500541077E0;-7.058122559E0;-1.089434509E0
1.074251708E0;4.235891418E0;-7.191644897E0;-1.259181519E0
1.089370708E0;3.168012085E0;-9.032217407E0;4.935237122E-1
1.104489708E0;2.988086243E0;-1.035112473E1;5.360353088E-1
1.119607708E0;3.094365234E0;-8.059989166E0;-4.558021545E-1
1.134726708E0;2.678979034E0;-7.994575195E0;-2.622995453E0
1.149845708E0;2.118694153E0;-8.778195648E0;-7.529342651E-1
1.164964708E0;1.914369049E0;-9.013506317E0;1.434017944E0
1.180083708E0;1.612446899E0;-8.011939087E0;-2.008822632E-1
1.195201708E0;-1.160087585E-1;-9.496551819E0;-9.996212769E-1
1.210320708E0;-1.727258148E0;-8.521329803E0;-4.486170959E-1
1.225439708E0;1.687141571E0;-1.141840530E1;3.432362366E-1
1.240558708E0;1.005010071E0;-7.899223480E0;6.511459351E-2
1.255676708E0;-1.026864624E-1;-7.086413727E0;3.466790771E-1
1.270795708E0;-1.811233521E-2;-8.693771210E0;4.751119995E-1
1.285914708E0;7.074288940E-1;-9.151219940E0;-3.841012573E-1
1.301033708E0;1.622326355E0;-1.187944656E1;1.317260742E-2
1.316151708E0;1.234782257E0;-9.719438324E0;-3.848497009E-1
1.331270708E0;2.494263153E0;-6.477030945E0;1.199006653E-1
1.346389708E0;2.476899261E0;-9.657766571E0;-2.891986084E-1
1.361508708E0;3.014730835E-1;-1.487007751E1;5.415737915E-1
1.376626708E0;2.608176270E0;-1.000085312E1;6.607260132E-1
1.391745708E0;1.676513672E0;-8.228987732E0;5.129832458E-1
1.406864708E0;1.215322723E0;-7.009773102E0;8.147557068E-1
1.421983708E0;7.969427490E-1;-1.141047180E1;1.712888031E0
1.437102708E0;9.418414307E-1;-1.078447357E1;1.544488220E0
1.452220708E0;3.011737061E-1;-1.207868225E1;1.030606842E0
1.467339708E0;1.975891113E-2;-1.198542618E1;9.321116638E-1
1.482458708E0;-5.625302124E-1;-1.146435974E1;7.238946533E-1
1.497577708E0;-2.199526062E0;-1.236728210E1;2.124382324E0
1.512695708E0;1.221459961E-1;-8.447233887E0;-7.454498291E-2
1.527814708E0;-1.127156067E-1;-9.489965515E0;8.972341919E-1
1.542933708E0;-2.168989563E-1;-9.674831085E0;4.459226990E-1
1.558052708E0;-1.764231262E0;-8.147557068E0;-2.248474274E0
1.573170708E0;-1.074765015E-1;-1.103774689E1;2.523452454E0
1.588289708E0;6.321354675E-1;-8.359366608E0;-5.138813782E-1
1.603408708E0;-1.000369720E0;-8.524473267E0;2.722837830E0
1.618527708E0;1.927092590E0;-1.129625931E1;-4.577481079E-1
1.633646708E0;6.396199036E-1;-1.167407364E1;-2.484832764E-1
1.648764708E0;6.072871399E-1;-9.762997742E0;-1.099164276E0
1.663883708E0;-9.621990967E-1;-9.669142914E0;-5.135820007E-1
1.679002708E0;1.360520782E0;-8.900042267E0;1.833686829E-1
1.694121708E0;1.302740936E0;-9.767189026E0;-8.666976929E-2
1.709239708E0;8.985813904E-1;-9.595795441E0;-3.080593872E-1
1.724358708E0;8.231382751E-1;-9.459878082E0;-5.104385376E-1
1.739477708E0;1.233734436E0;-9.464967499E0;-5.954617310E-1
1.754596708E0;2.020498352E0;-9.657018127E0;-5.122348022E-1
1.769714708E0;2.644251251E0;-9.619595947E0;-4.504133606E-1
1.784833708E0;2.750380554E0;-9.441017303E0;-3.138972473E-1
1.799952708E0;2.487377472E0;-9.398505707E0;-1.586700439E-1
1.815071708E0;2.052531738E0;-9.478589172E0;1.770817566E-1
1.830189708E0;1.119821320E0;-1.028436356E1;8.681945801E-2
1.845308708E0;-1.583706665E-1;-1.083641556E1;8.604107666E-1
1.860427708E0;-4.911286926E-1;-1.102143082E1;1.249900818E0
1.875546708E0;5.763015747E-2;-1.122021744E1;1.184935913E0
1.890665708E0;1.014141083E0;-1.195923065E1;4.813989258E-1
1.905783708E0;1.591789856E0;-1.357616821E1;-1.556762695E-2
1.920902708E0;1.850302277E0;-1.518457352E1;-2.438429260E-1
1.936021708E0;2.157912598E0;-1.619362518E1;-1.939965820E-1
1.951141458E0;1.849254456E0;-1.634825363E1;-3.676354980E-1
1.966259458E0;1.095272369E0;-1.531106049E1;-8.773255920E-1
1.981378458E0;-5.942642212E-2;-1.385189484E1;-1.035546570E0
1.996497458E0;-1.510658569E0;-1.223510696E1;-1.417552185E0
2.011616458E0;-2.658321991E0;-1.066562073E1;-2.039808197E0
2.026734458E0;-3.241958313E0;-9.773026886E0;-3.159030762E0
2.041853458E0;-3.650608521E0;-9.561367035E0;-3.277883606E0
2.056972458E0;-3.000360718E0;-9.868228912E0;-3.344195709E0
2.072091458E0;-1.869163055E0;-1.042147842E1;-4.193679199E0
2.087209458E0;-3.107537842E-1;-1.231593887E1;-4.450994110E0
