"Time (s)";"X (rad/s)";"Y (rad/s)";"Z (rad/s)"
1.719770834E-2;-6.616063416E-2;7.844480127E-2;2.328619361E-1
3.231670833E-2;2.075649202E-1;3.392729163E-1;6.991137564E-2
4.743470834E-2;3.013631701E-1;7.826066613E-1;-2.246330827E-1
6.255370833E-2;9.296853095E-3;1.328367114E0;-5.844821930E-1
7.767270834E-2;-6.552028060E-1;1.570975900E0;-8.301267028E-1
9.279170833E-2;-1.403669000E0;1.110057235E0;-9.702587724E-1
1.079107083E-1;-1.741053939E0;5.049937367E-1;-9.592352509E-1
1.230287083E-1;-1.933398962E0;-4.233017266E-1;-8.297846913E-1
1.381477083E-1;-2.625613213E0;-1.496563554E0;-1.181173921E-1
1.532667083E-1;-3.214709759E0;-2.071726322E0;9.927901626E-1
1.683857083E-1;-3.256338596E0;-3.870364666E0;1.826753736E0
1.835037083E-1;-2.331202984E0;-2.956311941E0;2.317476511E0
1.986227083E-1;-1.041095734E0;-2.396897793E0;2.569116116E0
2.137417083E-1;-9.630099684E-2;-2.468095064E0;2.472425938E0
2.288607083E-1;6.260959804E-2;-2.613907814E0;1.697798371E0
2.439787083E-1;-1.360727288E-2;-1.985371828E0;9.968341589E-1
2.590977083E-1;-1.259885728E-1;-1.288930655E0;7.196689248E-1
2.742167083E-1;-2.146846354E-1;-1.691143870E0;7.517363429E-1
2.893357083E-1;-1.324928701E-1;-1.683081031E0;1.079178214E0
3.044547083E-1;5.666573718E-2;-1.611995578E0;1.976670146E0
3.195727083E-1;2.769583166E-1;-1.291863441E0;3.579910278E0
3.346917083E-1;4.358975217E-2;-1.797853589E0;4.712369919E0
3.498107083E-1;-3.582681715E-2;-2.622327089E0;4.274865150E0
3.649297083E-1;8.845363855E-1;-3.155297518E0;2.601435900E0
3.800477083E-1;1.708273530E0;-4.907479763E0;3.046885252E0
3.951667083E-1;3.732531667E-1;-2.245893955E0;3.251945257E0
4.102857083E-1;5.264965892E-1;-1.567585707E0;2.815539598E0
4.254047083E-1;1.308210015E0;-1.858923078E0;2.433436394E0
4.405237083E-1;1.732071519E0;-2.758456230E0;2.214154482E0
4.556417083E-1;1.587981939E0;-3.840584040E0;1.868052840E0
4.707607083E-1;1.481794000E0;-4.700266361E0;1.845754862E0
4.858797083E-1;1.396363139E0;-4.885376930E0;2.199981928E0
