"Time (s)";"X (m/s^2)";"Y (m/s^2)";"Z (m/s^2)"
1.719770834E-2;-1.281157402E0;-5.380868044E-1;3.071021980E-1
3.231670833E-2;-9.721775164E-1;4.823754108E-1;2.462533237E0
4.743470834E-2;-7.664552204E-1;8.802682033E-1;2.945876362E0
6.255370833E-2;-2.554837091E-1;1.219559031E0;1.955517660E0
7.767270834E-2;-2.170957151E-1;1.154450285E0;5.551282221E-1
9.279170833E-2;1.250497234E-1;6.401979008E-1;-2.900889055E0
1.079107083E-1;3.916519131E-1;-2.672066456E-1;-3.996771289E0
1.230287083E-1;-1.806790806E0;-8.385608912E-2;-8.282195055E-1
1.381477083E-1;-2.289912468E0;-3.865047553E-1;-4.057227405E0
1.532667083E-1;-1.718148625E0;-3.645475835E0;-3.330698581E0
1.683857083E-1;-1.815219129E0;-3.835606238E0;-4.253118485E0
1.835037083E-1;-1.217760574E0;-3.152265826E0;3.591710687E-2
1.986227083E-1;-1.802392896E-1;-1.397154612E0;7.303763503E0
2.137417083E-1;-4.185794375E-1;-4.063249160E-1;3.613169968E-1
2.288607083E-1;-1.224628202E0;-1.031646623E0;-1.033469054E0
2.439787083E-1;1.817535650E0;-8.812696852E-1;-1.799077159E0
2.590977083E-1;2.627893081E0;-1.099812952E0;-3.993355930E-1
2.742167083E-1;-2.614369787E-1;-3.956201991E-1;-1.657664003E0
2.893357083E-1;-1.016007222E0;-1.071277735E0;-1.768941779E0
3.044547083E-1;-1.455382062E0;-4.719481296E0;3.395308560E-1
3.195727083E-1;-1.998519545E0;-6.544023664E0;1.828468773E0
3.346917083E-1;-1.206429693E0;-6.338810368E0;1.677617041E0
3.498107083E-1;-9.507028860E-1;-4.175158436E0;-1.844683687E0
3.649297083E-1;1.671232467E0;4.621068563E0;-2.109839129E-1
3.800477083E-1;1.043403181E0;2.712958666E0;-2.763116959E0
3.951667083E-1;2.587447890E0;-6.042352953E-1;4.556956767E0
